raw_id,source,query_file,title,authors,year,venue,doc_type,doi,bucket,duplicate_of,sig_hits,sig_count,abstract,source_notes
R000477,IEEEXplore,query2.csv,CodoMo: Python Model Checking to Integrate Agile Verification Process of Computer Vision Systems,Y. Harie; Y. Ogata; B. P. Gautam; K. Wasaki,2024,2024 Twelfth International Symposium on Computing and Networking (CANDAR),IEEE Conferences,10.1109/CANDAR64496.2024.00012,duplicate_E5,R000129,python_dynlang;verification,2,"Model checking is a fundamental technique for verifying finite state concurrent systems. Traditionally, model designs were initially created to facilitate the application of model checking. This process, representative of Model Driven Development (MDD), involves generating an equivalent code from a given model which is verified before implementation begins. However, this approach is considerably slower compared to agile development methods and lacks flexibility in terms of expandability and refactoring. We have proposed ""CodoMo: Python Code to Model Generator for pyModelChecking."" This tool automates the transformation of a Python code by an AST static analyzer and a concolic testing tool into intermediate models suitable for verification with pyModelChecking, bridging the gap between traditional model checking and agile methodologies. Additionally, we have implemented a multiprocess approach that integrates the execution of PyExZ3 with the generation of Kripke structures achieving greater work efficiency. By employing CodoMo, we successfully verified a Tello Drone programming with gesture-based image processing interfaces, showcasing the tool’s powerful capability to enhance verification processes while maintaining the agility required for today’s fast-paced development cycles.",
R000479,IEEEXplore,query2.csv,Ver2Smv — A tool for automatic verilog to SMV translation for verifying digital circuits,M. Minhas; O. Hasan; K. Saghar,2018,2018 International Conference on Engineering and Emerging Technologies (ICEET),IEEE Conferences,10.1109/ICEET1.2018.8338617,duplicate_E5,R000395,python_dynlang;verification,2,"Verification of today's complex digital circuit designs is of critical concern for hardware designers. A tremendous amount of effort and computing resources are spent to assure if the developed design is correct or not. Simulation is by far the most extensively used method for this purpose. However, it does not provide 100% coverage of the possible test patterns. Formal verification tends to overcome these limitations. However, digital circuits are usually described in Verilog/VHDL and these descriptions need to be manually expressed in a formal language for their formal verification. This is a cumbersome task and thus limits the usage of formal verification in the industrial setting. This paper presents a step towards overcoming these problems by presenting a tool, Ver2Smv, for automatically translating RTL Verilog to the SMV language, i.e., a language supported by the NuXmv model checker. Besides the Verilog description, the user provides a VCD format file (random stimulus data) through a user friendly Python interface. This file helps in the automatic specification generation as assertions and relieves the user from writing them manually. These assertions are verified using the nuXmv model checker for the corresponding SMV model. The workflow of Ver2Smv tool is illustrated and tested on some commonly used sequential circuit designs.",
R000495,IEEEXplore,query2.csv,User Defined Checkers for Static Analysis with Symbolic Execution,A. Galustov; A. Borodin,2024,2024 Ivannikov Memorial Workshop (IVMEM),IEEE Conferences,10.1109/IVMEM63006.2024.10659705,duplicate_E5,R000015,python_dynlang;verification,2,Many modern static analysis tools provide toolkits that allow creation of custom checkers by end users. The majority of existing solutions choose AST-based approaches to provide a simpler declarative API. Solutions based on dataflow analysis or symbolic execution use complex explicit APIs that require much more expertise to achieve decent results compared to AST-based checkers. Even though the latter approach is much more powerful simplicity of the former made it much more prevalent.In this paper we introduce SvaceAPI a tool to write checkers based on symbolic execution in a declarative way. We describe a simple pattern-based API that leverages symbolic execution and attributes provided by Svace. Testing the API on a couple of checkers and open source programs across the variety of languages showed the same quality results as for built-in Svace checkers without noticeable performance regressions.,
R000527,IEEEXplore,query2.csv,LLM as Automated Theorem Provers for Map-Reduce Code Generation,V. Simonov; M. Khairetdinov,2026,2026 IEEE 27th International Conference of Young Professionals in Electron Devices and Materials (EDM),IEEE Conferences,10.1109/EDM69524.2026.11632200,duplicate_E5,R000148,python_dynlang;verification;subset;named_tools,4,"As Large Language Models (LLMs) increasingly assist software development, their ability to match the rigor of automated theorem provers for Map-Reduce code generation remains unclear. Existing evaluations treat Python-to-Spark translation as a black box, assessing models only by binary pass or fail outcomes for generated code. This obscures whether models truly understand the logical deductions required for translating nontrivial Python programs into semantically equivalent Apache Spark code. To bridge this gap, we build on our prior work-a Python preprocessor that uses formal verification to guarantee semantic equivalence of generated Spark code-and introduce SCoT-Lift, a framework that lifts the preprocessor’s Dafny verification traces into high-level, human-readable Synthesis Chain-of-Thought (SCoT) steps. By exposing the formal reasoning underlying each translation as an explicit SCoT, SCoT-Lift provides concrete ground truth for finegrained evaluation. Leveraging SCoT-Lift, we introduce SCoT-Bench, a comprehensive benchmark of 1,652 SCoT completion tasks for rigorously evaluating LLMs on the Python-to-Spark translation process. SCoT-Bench measures performance along three orthogonal dimensions: robustness to varying degrees of missing translation steps, competence across different synthesis construct types, and sensitivity to the position of missing reasoning steps. Evaluation of ten state-of-the-art LLMs reveals severe fragility, indicating that current LLMs fall well short of the reasoning capabilities exhibited by automated theorem provers, and lag significantly behind the correctness guarantees of our formal Python preprocessor.",
R000533,IEEEXplore,query2.csv,A Comprehensive Review of Static Memory Analysis,T. Akinyemi; E. Solomon; A. Woubie; K. Lippert,2024,IEEE Access,IEEE Journals,10.1109/ACCESS.2024.3482253,duplicate_E5,R000149,python_dynlang;verification,2,"This review aims to evaluate and compare various static analysis tools across multiple programming languages for memory management. The tools and techniques under scrutiny include pattern matching, symbolic execution, CppCheck, SharpChecker, FindBugs, CheckStyle, and Pylint. When examining the methods, pattern matching, and symbolic execution, we identified implementations using pattern matching and symbolic execution for each programming language. We focus on understanding the full scope of their capabilities and effectiveness in managing internal and external memory components such as RAM, SRAM, PROM, Cache, Optical Drive, etc. While static analysis tools do not directly analyze physical memory components, they are crucial in enhancing memory behavior. By detecting and addressing memory-related issues early in the development process, these tools contribute significantly to the overall quality of software systems. This review will thoroughly examine the strengths and weaknesses of each static analysis tool, aiding in selecting the most suitable tool or combination of tools for effective memory management across diverse programming environments.",
R000539,IEEEXplore,query2.csv,Improvement and Optimization of Vulnerability Detection Methods for Ethernet Smart Contracts,Z. Yang; W. Zhu; M. Yu,2023,IEEE Access,IEEE Journals,10.1109/ACCESS.2023.3298672,duplicate_E5,R000377,python_dynlang;verification,2,"Smart contracts based on blockchain are widely used in finance, management, Internet of Things, healthcare, and other fields. However, with the rapid development of smart contracts, the corresponding security vulnerability attack cases occur frequently. Existing Ethereum smart contract vulnerability detection tools based on static analysis techniques rely too much on expert rules, for this reason, this paper proposes an Ethereum smart contract vulnerability detection method SCSVM based on support vector machine technology. A representation of smart contracts is constructed based on the word-to-vector technique, the features of Ethereum smart contracts are extracted based on the support vector machine technique, and these features are combined to identify vulnerabilities. Experiments on Smartbugs and Smartbugs-wild show that SCSVM is significantly effective. It achieves a detection accuracy of 87.51%, outperforming five typical static analysis vulnerability detection tools in terms of F1-score. To alleviate the problems of deep learning methods over-relying on large-scale data to train models and collecting a large number of smart contract attack samples in a short period, this paper proposes a basic learner-meta-learner framework, SCLMF. solc-based acquisition of the bytecode of Ethereum smart contract Solidity, on which smart contract representations are constructed via Python and the use of SCLMF for vulnerability detection. The experiments on WScrawlD show that SCLMF has a certain detection effect. Also, to further verify the effectiveness of SCLMF, experiments were conducted on Omniglot, and the detection accuracy was 96.7% and 98.5% under 5-way 1-shot and 5-way 5-shot conditions, respectively, which exceeded Memory-Augmented Neural Networks and CONVOLUTIONAL SIAMESE NETS. In summary, the experiments proved the effectiveness of SCSVM and SCLMF in Ethereum smart contract vulnerability detection.",
R000549,IEEEXplore,query2.csv,Detecting Memory Errors in Python Native Code by Tracking Object Lifecycle with Reference Count,X. Ma; J. Yan; H. Zhang; J. Yan; J. Zhang,2023,2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE Conferences,10.1109/ASE56229.2023.00198,duplicate_E5,R000052,python_dynlang;verification,2,"Third-party Python modules are usually implemented as binary extensions by using native code (C/C++) to provide additional features and runtime acceleration. In native code, the heap-allocated PyObjects are managed by the reference counting mechanism provided in Python/C APIs for automatic reclaiming. Hence, improper refcount manipulations can lead to memory leaks and use-after-free problems, and cannot be detected by simply pairing the occurrence of source and sink points. To detect such problems, state-of-the-art approaches have made groundbreaking contributions to identifying inappropriate final refcount values before returning from native code to Python. However, not all problems can be exposed at the end of a path. To detect those hidden in the middle of a path in native code, it is also crucial to track the lifecycle state of PyObjects through the refcount and lifecycle operations in API calls. To achieve this goal, we propose the PyObject State Transition Model (PSTM) recording the lifecycle states and refcount values of PyObjects to describe the effects of Python/C API calls and pointer operations. We track state transitions of PyObjects with symbolic execution based on the model, and report problems when a statement triggers a transition to buggy states. The program state is also expanded to handle pointer nullity checks and smart pointers of PyObjects. We conduct experiments on 12 open-source projects and detect 259 real problems out of 280 reports, which is twice as many bugs as state-of-the-art approaches. We submit 168 real bugs to those active projects, and 106 issues are either confirmed or resolved.",
R000555,IEEEXplore,query2.csv,Design by contract for Python,R. Plosch,1997,Proceedings of Joint 4th International Computer Science Conference and 4th Asia Pacific Software Engineering Conference,IEEE Conferences,10.1109/APSEC.1997.640178,duplicate_E5,R000344,python_dynlang;verification;named_tools,3,"The idea of design by contract (DEC), realized in the statically typed object-oriented programming language Eiffel, can be viewed as a systematic approach to specifying and implementing object-oriented software systems. We believe that a statically typed programming language is not suitable in the analysis and design phase of a prototyping-oriented software life cycle. For this purpose, dynamically typed interpreted programming languages are better suited. Unfortunately, dynamically typed programming languages usually do not support the concept of DEC. Therefore we integrated DEC into the programming language Python by using a metaprogramming approach, i.e., without changing the language or the run-time system. We adopted the DEC concept by adding mechanisms for dynamic type checking for method parameters and instance variables. The proposed combination of a more formal approach with a slim programming language provides a good basis for elicitation and documentation tasks in the analysis and design phase, especially in cases of a prototyping-oriented software development approach. Although the approach presented provides basic tool support for the analysis and design phase, further tool support especially for browsing assertions, is desirable.",
R000556,IEEEXplore,query2.csv,Towards More Sophisticated Static Analysis Methods of Python Programs,H. Gulabovska; Z. Porkoláb,2019,2019 IEEE 15th International Scientific Conference on Informatics,IEEE Conferences,10.1109/Informatics47936.2019.9119307,duplicate_E5,R000022,python_dynlang;verification,2,"Static analysis is a software verification method which is analyzing the source code without executing it for detecting code smells and possible software bugs. Various analysis methods have been successfully applied for languages with static type system, such as C, C++ and Java. Python is an important programming language with dynamic type system, used in many emerging areas, including data science, machine learning and web applications. The dynamic behavior of the Python language requires different static analysis approaches compared to the ones with static type system. In this paper we overview these methods and investigate their advantages and shortages. We compare the symbolic execution with the generally used Abstract Syntax Tree based approach and show its advantages based on concrete examples. We also highlight the restrictions of current tools and suggest further research directions to tackle these problems.",
R000567,IEEEXplore,query2.csv,Path reduction of multiple test points in dynamic symbolic execution,J. Lu; L. Cai; Y. Zhang,2017,2017 IEEE/ACIS 16th International Conference on Computer and Information Science (ICIS),IEEE Conferences,10.1109/ICIS.2017.7960112,duplicate_E5,R000362,verification,1,"Dynamic symbolic execution (DSE) is widely used to generate test cases for automated test. However, the practicability of DSE is greatly decreased by path explosion, which is an unavoidable challenge caused by that the number of execution paths increases exponentially with the increase in the size of program. To alleviate this problem, dynamic symbolic execution based on multiple test points (MPDSE) is proposed in this paper to improve the efficiency of DSE by reducing redundant paths. Through analyzing the dependences between test points and branches, the equivalent paths are figured out so that MPDSE can eliminate exploring redundant paths. Our experiments show that MPDSE has advantages in generating test cases compared to traditional DSE.",
