order,band,score,decision,criterion,notes,title,year,venue,has_abstract,abstract,doi,link,facets_title,facets_abstract,why
1,3,6,,,,A Blockchain Smart Contract Framework Using Interpreted Programming Languages and Decentralized Storage,2024,SoutheastCon 2024,yes,"We present a model for an alternative to Ethereum Virtual Machine (EVM) smart contract blockchain networks which relies on an interpreted programming language and a distributed file system. Specifically we present the model by integrating the Interplanetary File System (IPFS) for decentralized files storage and Python as the interpreted programming language. IPFS ensures that contract code does not change by using content/hash-based addressing. The address of the file can be passed between nodes to recreate the files locally as long as nodes are running an IPFS node as well. In this implementation, we design the model to work with an existing prototype blockchain which was built with IPFS integration. The use of Python to write the code helps ensure transparency as the code does not need to be compiled and thus would not need to be run through a decompiler to make deployed code human-readable. We describe how the data is extracted and validated from a transaction before the code is executed locally and it's respective state updated and stored on the blockchain.",10.1109/southeastcon52093.2024.10500201,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10500201,VERIF,PY+RUNTIME+SUBSET,VERIF:contracts?; abs:PY+RUNTIME+SUBSET
2,3,4,,,,A Blockchain and Cryptography-Based Framework for Secure Log Integrity Verification,2025,2025 IEEE Madhya Pradesh Section Conference (MPCON),yes,"Security protection of dynamically generated log files requires immediate prevention against alteration, reliability, and compliance of current systems. The research creates a novel framework that integrates blockchain technology with cryptographic hashing methods to establish resistant and immutable log authentication mechanisms. The system dynamically generates log files through Python while saving a cryptographic hash (SHA-256) for verification of file integrity. Security and authentication of these hashes occurs through an Ethereum blockchain smart contract named Sepolia testnet. The framework uses Remix IDE along with Web3.py through Infura to connect into the Ethereum Sepolia testnet for launching smart contracts development. Simulation results demonstrated the system effectiveness by showcasing how logs remain immutable while providing performance data including transaction processing time and gas usage and event output. The research demonstrates how blockchain technology can power real-time log verification systems and suggests foundations for future decentralized security system developments.",10.1109/mpcon66082.2025.11256582,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11256582,VERIF,PY+RUNTIME,VERIF:verif(y|ied|ication); abs:PY+RUNTIME
3,3,4,,,,A Comparative Study of Programming Languages for a Real-Time Smart Grid Application,2023,2023 IEEE Green Energy and Smart Systems Conference (IGESSC),yes,"With security an increasing concern, SCADA system designers should consider the programming language used to implement critical smart grid applications. In this paper, we compare the performance of an anomaly detection workflow implemented in a common programming language used in SCADA systems (C) to equivalent implementations in three less commonly-known languages (Numba Python, Cython, and Rust). We benchmark our implementations on two real-world datasets of synchrophasor data and compare their performance on two Arm-based single board computers. Our results demonstrate that the Numba Python implementations achieve real-time performance in many contexts that pure Python counterparts cannot. In all tested scenarios, the Rust implementations achieve real-time performance while consuming similar amounts of power to their C counterparts. Our results suggest that SCADA designers should take a closer look at Numba Python and Rust for performant WAMS applications.",10.1109/igessc59090.2023.10321761,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10321761,RUNTIME,PY+SUBSET,RUNTIME:real[- ]time; abs:PY+SUBSET
4,3,4,,,,AI-Driven Dynamic-Threshold Smart Contracts for Fault-Aware Blockchain Supply Chain Management,2025,2025 2nd International Conference on Advanced Computing and Emerging Technologies (ACET),yes,"Blockchain technology has revolutionized supply chain transparency; however, it remains constrained in real-time fault prevention due to its inherently reactive nature. This research introduces an innovative framework that synthesizes AI-aided fault scoring with dynamic-threshold smart contracts to enable proactive control of blockchain-powered supply chains. The proposed system utilizes IoT sensor readings that are scored in real-time by a weighted risk engine, which dynamically varies contract-execution thresholds to automatically reject high-risk transactions. The implementation was carried out on a private blockchain network with an integrated Python GUI interface. The experimental results demonstrate significant improvements in system performance, with failure rates decreasing from 22.",10.1109/acet67282.2025.11430299,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11430299,VERIF,PY+RUNTIME,VERIF:contracts?; abs:PY+RUNTIME
5,3,4,,,,Beyond Functional Correctness: An Empirical Evaluation of Large Language Models for Text-to-Code Generation,2025,2025 IEEE 36th International Symposium on Software Reliability Engineering (ISSRE),yes,"Large Language Models (LLMs) have become increasingly popular for text-to-code generation, a task that involves converting natural language descriptions into code. While they have shown promising results, they are still flawed, especially when dealing with complex problems, making it crucial to have a deep understanding of their strengths and limitations. However, current evaluations are often limited, targeting only a single programming language, considering a small set of related models, and focusing heavily on execution-based metrics such as unit test pass rates. Moreover, they tend to overlook deeper issues like code quality, recurring mistakes, and underlying patterns in the generated code. To address these gaps and properly assess how effective LLMs are at generating quality code, we conduct a comprehensive evaluation of several LLMs across Python and C++ using a large, diverse dataset that spans multiple difficulty levels. Our evaluation combines execution-based and static analysis metrics, enabling us to assess both functional correctness and the structural quality of the code. Unlike prior work, our study also includes an in-depth analysis of the generated code, uncovering common mistakes and failure modes, allowing for a more complete and differentiated view of model capabilities. Results show that, despite their potential, open-source LLMs still struggle with complex tasks and make recurring systematic errors such as missing import statements and incorrect variable scoping.",10.1109/issre66568.2025.00036,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229673,SUBSET,PY+VERIF,SUBSET:code generat; abs:PY+VERIF
6,3,4,,,,Blockchain-Enabled Smart Contracts in Agriculture: Enhancing Trust and Efficiency,2024,2024 IEEE International Conference on Contemporary Computing and Communications (InC4),yes,"This study explores the important role of blockchain technology in the transformation of agriculture and presents a new way to integrate chatbots and smart contracts to solve the problem of persistence. Leverage the decentralized structure and security of the blockchain to increase traceability, transparency and fairness in agricultural product prices. A user-friendly chatbot built in Python using Tkinter that acts as a bridge between farmers and the Ethereum-based blockchain pricing algorithm. Smart contracts used in Solidity dynamically adjust crop prices based on the weather in real time, making it possible for prices to react and adjust. Simulations and tests in Ganache validate the proposed method, confirming its economic value and effectiveness in many agricultural cultures. This study delves into analytics, including latency and production time, to demonstrate the benefits of the blockchain model in creating transparent, farmer-centric and region-specific crop prices. The importance of this research is to support continuous change in agricultural technology, paving the way for the introduction of appropriate and fair prices. According to the amendment, the integration of advanced machine learning, further integration and collaboration with agricultural stakeholders should be developed in the future. This work sets a good path for agriculture, promoting transparency, fairness and quick access to the best crop prices, thus ensuring security and agricultural technology.",10.1109/inc460750.2024.10649141,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10649141,VERIF,PY+RUNTIME,VERIF:contracts?; abs:PY+RUNTIME
7,3,4,,,,Blockchain-Integrated Decentralized Supply Chain System Leveraging Cryptographic Verification and Secure Smart Contracts,2025,2025 6th International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV),yes,"The Blockchain-Enabled Decentralized Supply Chain System presents a secure and scalable product authentication and counterfeiting solution through Ethereum smart contracts and cryptographic methods. Written in the Truffle framework and tested on Ganache, the system uses Solidity-based contracts to enforce the traceability of product lifecycles through a finite state machine design. Role-Based Access Control (RBAC) algorithms control manufacturers, dispatchers, and transporters so that only permitted parties can conduct transactions. Product and transaction metadata are immutably locked with SHA-256 hashing, and backend communications are encrypted with AES. Python modules embedded within Web3.py enable real-time smart contract engagement and orchestrate state changes of the blockchain with rule-based decision logic. Vehicle tracking and receipt data are also validated end-to-end by the system with digital signatures for ultimate verifiability. Decentralized architecture enables tamper-proof auditability, cryptographic integrity, and strong integration with contemporary supply chain ecosystems.",10.1109/icicv64824.2025.11085684,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11085684,VERIF,PY+RUNTIME,"VERIF:contracts?,verif(y|ied|ication); abs:PY+RUNTIME"
8,3,4,,,,Consensus-based Automated Task Verification using Large Language Models,2026,2026 7th International Conference on Inventive Research in Computing Applications (ICIRCA),yes,The process of validating employee work submissions through human examination requires extensive time because it depends on personal judgment which increases the chances of mistakes. The existing systems for task evaluation still depend on one specific AI choice although Large Language Models (LLMs) have achieved advanced capabilities to handle automatic task assessments. The paper introduces ITCE-AVS as an automated task verification solution which uses multiple independent LLM reasoning methods to assess employee work submissions through its consensus-based system. The system uses a consensus-based method to combine AI results which produces a dependable verification result that also shows confidence levels. The proposed system which uses Flask and Python and the Google Gemini API achieves two main benefits for managers through reduced workload and enhanced accuracy and consistency of task assessment. The experimental results show that consensus-based verification methods perform better than single-model verification methods which makes the system appropriate for implementation in actual business operations. We explore how generating a chain of thought—a series of intermediate reasoning steps—significantly improves the ability of large language models to perform complex reasoning,10.1109/icirca69024.2026.11570281,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11570281,VERIF,CERT+PY,VERIF:verif(y|ied|ication); abs:CERT+PY
9,3,4,,,,Decentralized Firmware Integrity Verification for Cyber-Physical Systems Using Ethereum Blockchain,2026,2026 IEEE 23rd Consumer Communications & Networking Conference (CCNC),yes,"Firmware integrity is a foundational requirement for securing Cyber-Physical Systems (CPS), where malicious or compromised firmware can result in persistent backdoors, unauthorized control, or catastrophic system failures. Traditional verification mechanisms such as secure boot, digital signatures, and centralized hash databases are increasingly inadequate due to risks from insider threats and single points of failure. In this paper, we propose a decentralized firmware integrity verification framework built on the Ethereum blockchain, offering tamper-proof, transparent, and trustless validation. Our system stores SHA-256 hashes of firmware binaries within smart contracts deployed on the Ethereum Sepolia testnet, using Web3 and Infura for seamless on-chain interaction. A Python-based client tool computes firmware hashes and communicates with the blockchain to register and verify firmware authenticity in real-time. We implement and evaluate a fully functional prototype using real firmware samples, demonstrating successful contract deployment, hash registration, and integrity verification through live blockchain transactions. Experimental results confirm the reliability and low cost (in gas fees) of our approach, highlighting its practicality and scalability for real-world CPS applications. To enhance scalability and performance, we discuss extensions using Layer-2 rollups and off-chain storage via the InterPlanetary File System (IPFS). We also outline integration pathways with secure boot mechanisms, Trusted Platform Module (TPM)-based attestation, and zero-trust architectures. This work contributes a practical and extensible model for blockchain-based firmware verification, significantly strengthening the defense against firmware tampering and supply chain attacks in critical CPS environments.",10.1109/ccnc65079.2026.11366566,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11366566,VERIF,PY+RUNTIME,VERIF:verif(y|ied|ication); abs:PY+RUNTIME
10,3,4,,,,Deep learning type inference,2018,Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,yes,"Dynamically typed languages such as JavaScript and Python are increasingly popular, yet static typing has not been totally eclipsed: Python now supports type annotations and languages like TypeScript offer a middle-ground for JavaScript: a strict superset of JavaScript, to which it transpiles, coupled with a type system that permits partially typed programs. However, static typing has a cost: adding annotations, reading the added syntax, and wrestling with the type system to fix type errors. Type inference can ease the transition to more statically typed code and unlock the benefits of richer compile-time information, but is limited in languages like JavaScript as it cannot soundly handle duck-typing or runtime evaluation via eval. We propose DeepTyper, a deep learning model that understands which types naturally occur in certain contexts and relations and can provide type suggestions, which can often be verified by the type checker, even if it could not infer the type initially. DeepTyper, leverages an automatically aligned corpus of tokens and types to accurately predict thousands of variable and function type annotations. Furthermore, we demonstrate that context is key in accurately assigning these types and introduce a technique to reduce overfitting on local cues while highlighting the need for further improvements. Finally, we show that our model can interact with a compiler to provide more than 4,000 additional type annotations with over 95% precision that could not be inferred without the aid of DeepTyper.",10.1145/3236024.3236051,https://doi.org/10.1145/3236024.3236051,VERIF,PY+SUBSET,VERIF:type inference; abs:PY+SUBSET
