"title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Modeling the Function Cache for Worst-Case Execution Time Analysis","R. Kirner; M. Schoeberl","Real-Time Systems Group, Institut fuer Technische Informatik, Technische Universitat Vienna, Austria; System-on-a-Chip Group, Institut fuer Technische Informatik, Technische Universitat Vienna, Austria",2007 44th ACM/IEEE Design Automation Conference,"25 Jun 2007","2007","","","471","476","Static worst-case execution time (WCET) analysis is done by modeling the hardware behavior. In this paper we describe a WCET analysis technique to analyze systems with function caches, a special kind of instruction cache that caches whole functions only. This cache was designed with the aim to be more predictable for the worst-case than existing instruction caches. Within this paper we developed a cache analysis technique for the function cache. One of the new concepts of this analysis technique is the local persistence analysis, which allows to precisely model the function cache.","0738-100X","978-1-59593-627-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4261230","Performance;Verification;worst-case execution time;WCET;cache analysis;function cache","Real time systems;Performance analysis;Hardware;Permission;System-on-a-chip;Timing;Contracts;Java;Filling;Flow graphs","","2","","13","","25 Jun 2007","4-8 June 2007","4-8 June 2007","IEEE","IEEE Conferences"
"Optimization of Java Virtual Machine with Safe-Point Garbage Collection","S. V. Rogov; V. A. Kirillin; V. V. Sidelnikov","Diploma in computer science, Saint Petersburg State Electrotechnical University, Russia; Graduate diploma in mathematics, State University of Leningrad, Russia; Systems and Java technologies",2006 IEEE International Symposium on Consumer Electronics,"11 Sep 2006","2006","","","1","5","The paper reveals several inconsistencies of Java Virtual Machine with safe-point Garbage Collection, which may incur performance penalties. Two ways of solving these shortcomings are discussed and the most preferable is chosen for implementation. Optimized prototype of Connected Device Configuration Virtual Machine was benchmarked by the set of Java Hartstone experiments, which results confirm advantages of chosen solution. Proposed optimization is highly applicable, transparent and simple to understand.","2159-1423","1-4244-0216-6","10.1109/ISCE.2006.1689453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1689453","Java Virtual Machine;Garbage Collection;Threading Model;Soft Real-time","Java;Virtual machining;Yarn;Delay;Mobile computing;Memory management;Scheduling;Kernel;Switches;Virtual prototyping","","","","8","IEEE","11 Sep 2006","28 June-1 July 2006","28 June-1 July 2006","IEEE","IEEE Conferences"
"Towards Garbage Collection Mechanism for RTSJ-Oriented Embedded Java Processor","G. Hu; Z. Chai; W. Zhao; S. Tu","Department of Computer Science, Department of Computer Science and Engineering, Fudan University, Shanghai, China; Center of Intelligent and High Performance Computing, School of Information Technology, Jiangnan University, Wuxi, China; Siemens Corporate Technology, Beijing, China; Department of Computer Science and Engineering, Fudan University, Shanghai, China",2010 10th IEEE International Conference on Computer and Information Technology,"16 Sep 2010","2010","","","1312","1316","Currently, Java has been gradually applied in embedded real-time area with the improvement by the Real-Time Specification for Java (RTSJ). Accordingly, a hardware Java execution engine for embedded real-time applications, JPOR-32 (32-bit Java Processor Optimized for RTSJ), is designed. Taking JPOR-32 for an example, this paper presents the garbage collection mechanism for RTSJ-oriented embedded processor in detail. JPOR-32 provides effective architectural support for garbage collection. And the object reference format of JPOR-32 provides supports for objects tracing and heap scanning. The support for write barrier of real-time concurrent GC is also performed. Moreover, JPOR-32 provides optimized instruction level support for garbage collection. In addition, different garbage collection algorithms are compared on the base of the resource-constrained feature and the real-time requirement of the processor, and the hybrid garbage collectors are suggested.","","978-1-4244-7548-3","10.1109/CIT.2010.236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5577862","garbage collection;Java processor;embeeded;real-time Java","Java;Real time systems;Resource management;Registers;Memory management;Loading;Head","","3","","22","IEEE","16 Sep 2010","29 June-1 July 2010","29 June-1 July 2010","IEEE","IEEE Conferences"
"A Study on Java Virtual Machine for Real-Time Embedded Systems","V. Q. La",NA,2008 International Conference on Computer Science and Software Engineering,"22 Dec 2008","2008","2","","180","183","Real-Time Specification for Java (RTSJ) is intended for real-time embedded applications. It is believed to be a big invention, a new generation for real-time applications. However, can RTSJ make a breakthrough in real-time devices like Java has done for desktop applications? This question is not yet answered.In this study, we present the architecture of a typical JVM, from the first generation, interpreter architecture, to newest architecture, just in time with hotspot mechanism. Also, the structure of RTSJ can affect to the JVM for embedded devices have been analyzed.","","978-0-7695-3336-0","10.1109/CSSE.2008.366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4722029","Java virtual machine;Real-time Java","Java;Virtual machining;Real time systems;Embedded system;Yarn;Engines;Application software;Memory management;Libraries;Computer science","","","","5","IEEE","22 Dec 2008","12-14 Dec. 2008","12-14 Dec. 2008","IEEE","IEEE Conferences"
"A Survey of Worst-Case Execution Time Analysis for Real-Time Java","T. Harmon; R. Klefstad","Department of Electrical Engineering and Computer Science, University of California, Irvine, Irvine, CA, USA; Department of Electrical Engineering and Computer Science, University of California, Irvine, Irvine, CA, USA",2007 IEEE International Parallel and Distributed Processing Symposium,"11 Jun 2007","2007","","","1","8","As real-time systems become more prevalent, there is a need to guarantee that these increasingly complex systems perform as designed. One technique involves a static analysis to place an upper bound on worst-case execution time (WCET). Other techniques aim for new architectures and algorithms that reduce the WCET. At the same time, there is a growing interest in using Java for real-time systems. Several WCET analysis prototypes for Java have been created, and more are under development. This paper provides a comprehensive survey of research that combines WCET analysis with the Java domain. We begin by explaining the importance of WCET analysis and why it is so difficult to perform adequately. We then examine the features that make Java an attractive platform for WCET analysis, as well as the new challenges it brings. Finally, we provide a survey of prior work on this subject, organized as a simple one-level taxonomy.","1530-2075","1-4244-0909-8","10.1109/IPDPS.2007.370422","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228150","","Java;Real time systems;Performance analysis;Pipelines;Belts;Buildings;Hardware;Computer science;USA Councils;Upper bound","","1","","26","IEEE","11 Jun 2007","26-30 March 2007","26-30 March 2007","IEEE","IEEE Conferences"
"Toward Libraries for Real-Time Java","T. Harmon; M. Schoeberl; R. Kirner; R. Klefstad","Electrical Engineering and Computer Science, University of California, Irvine, USA; Institute of Computer Engineering, University of Technology, Vienna, Austria; Institute of Computer Engineering, University of Technology, Vienna, Austria; Electrical Engineering and Computer Science, University of California, Irvine, USA",2008 11th IEEE International Symposium on Object and Component-Oriented Real-Time Distributed Computing (ISORC),"14 May 2008","2008","","","458","462","Reusable libraries are problematic for real-time software in Java. Using Java's standard class library, for example, demands meticulous coding and testing to avoid response time spikes and garbage collection. We propose two design requirements for reusable libraries in real-time systems: worst-case execution time (WCET) bounds and worst- case memory consumption bounds. Furthermore, WCET cannot be known if blocking method calls are used. We have applied these requirements to the design of three Java-based prototypes: a set of collection classes, a networking stack, and trigonometric functions. Our prototypes show that reusable libraries can meet these requirements and thus be viable for real-time systems.","2375-5261","978-0-7695-3132-8","10.1109/ISORC.2008.73","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4519617","Java;real-time;libraries;WCET","Java;Real time systems;Software libraries;Prototypes;Distributed computing;Computer science;Software prototyping;Operating systems;Memory management;Yarn","","4","","10","IEEE","14 May 2008","5-7 May 2008","5-7 May 2008","IEEE","IEEE Conferences"
"Towards an Analysis of Garbage Collection Techniques for Embedded Real-Time Java Systems","M. T. Higuera-Toledano","DACYA, Facultad de Informática, Universidad Complutense de Madrid, Madrid, Spain",12th IEEE International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA'06),"11 Sep 2006","2006","","","97","100","From a real-time perspective, the garbage collector (GC) introduces unpredictable pauses that are not tolerated by real-time tasks. Real-time collectors eliminate this problem but introduce a high overhead. Another approach is to use memory regions (MR) within which allocation and deallocation are customized. This facility is supported by the memory model of the real-time specification for Java (RTSJ). This paper provides an indepth analytical investigation of the problems and solutions of Java garbage collection techniques regarding it use in embedded real-time systems","2325-1301","0-7695-2676-4","10.1109/RTCSA.2006.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1691301","Java;embedded;real-time;write barriers;memory;management;garbage collection","Real time systems;Java;Memory management;Automatic control;Control systems;Telecommunication control;NIST;Time factors;Computerized monitoring;Mice","","1","","18","IEEE","11 Sep 2006","16-18 Aug. 2006","16-18 Aug. 2006","IEEE","IEEE Conferences"
"Interactive Back-annotation of Worst-case Execution Time Analysis for Java Microprocessors","T. Harmon; R. Klefstad","Department of Electrical Engineering and Computer Science, The Henry Samueli School of Engineering, University of California, Irvine, Irvine, CA, USA; Department of Electrical Engineering and Computer Science, The Henry Samueli School of Engineering, University of California, Irvine, Irvine, CA, USA",13th IEEE International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA 2007),"4 Sep 2007","2007","","","209","216","As real-time systems become more prevalent, there is a need to guarantee that these increasingly complex systems perform as designed. One technique involves a static analysis to place an upper bound on worst-case execution time (WCET). Tools for conducting this analysis typically require the developer to digest assembly opcodes, hexadecimal addresses, and other low-level details in order to make sense of the results. Java-specific processors offer a way out of this complexity. Such processors make Java software more predictable, and as a consequence, timing analysis of a real-time system becomes less computationally intensive. WCET analysis tools based on these processors can thus offer more powerful features at higher levels of abstraction. As proof of this concept, we present a tool for static WCET analysis of Java processors. Our performance measurements show that this tool makes WCET analysis interactive, offering continuous feedback to the developer in the form of back-annotations.","2325-1301","978-0-7695-2975-2","10.1109/RTCSA.2007.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4296854","","Java;Microprocessors;Real time systems;Time measurement;Performance analysis;Upper bound;Scheduling algorithm;Delay;Throughput;Design engineering","","23","","16","IEEE","4 Sep 2007","21-24 Aug. 2007","21-24 Aug. 2007","IEEE","IEEE Conferences"
"A Modular Worst-case Execution Time Analysis Tool for Java Processors","T. Harmon; M. Schoeberl; R. Kirner; R. Klefstad","Electrical Engineering and Computer Science, University of California, Irvine, USA; Institute of Computer Engineering, University of Technology, Vienna, Austria; Institute of Computer Engineering, University of Technology, Vienna, Austria; Electrical Engineering and Computer Science, University of California, Irvine, USA",2008 IEEE Real-Time and Embedded Technology and Applications Symposium,"27 Jun 2008","2008","","","47","57","Recent technologies such as the real-time specification for Java promise to bring Java's advantages to real-time systems. While these technologies have made Java more predictable, they lack a crucial element: support for determining the worst-case execution time (WCET). Without knowledge of WCET, the correct temporal behavior of a Java program cannot be guaranteed. Although considerable research has been applied to the theory of WCET analysis, implementations are much less common, particularly for Java. Recognizing this deficiency, we have created an open-source, extensible tool that supports WCET analysis of Java programs. Designed for flexibility, it is built around a plug- in model that allows features to be incorporated as needed. Users can plug in various processor models, loop bound detectors, and WCET analysis algorithms without having to understand or alter the tool's internals.","1545-3421","978-0-7695-3146-5","10.1109/RTAS.2008.34","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4550779","","Java;Real time systems;Processor scheduling;Application software;Computer science;Embedded computing;Random access memory;Virtual machining;Plugs;Detectors","","6","","22","IEEE","27 Jun 2008","22-24 April 2008","22-24 April 2008","IEEE","IEEE Conferences"
"Toward a Unified Standard for Worst-Case Execution Time Annotations in Real-Time Java","T. Harmon; R. Klefstad","Department of Electrical Engineering and Computer Science, University of California, Irvine, Irvine, CA, USA; Department of Electrical Engineering and Computer Science, University of California, Irvine, Irvine, CA, USA",2007 IEEE International Parallel and Distributed Processing Symposium,"11 Jun 2007","2007","","","1","8","As real-time systems become more prevalent, there is a need to guarantee that these increasingly complex systems perform as designed. One technique involves a static analysis to place an upper bound on worst-case execution time (WCET). This temporal analysis cannot be made automatic and normally requires source annotations to assist a WCET analysis tool. At the same time, there is a growing interest in using Java for real-time systems. Several WCET analysis prototypes for Java have been created, and more are under development. Each relies on a competing and incompatible convention for annotations, resulting in portability problems and duplication of effort. We propose that Java's own annotation mechanism should be used to address such issues. These built-in annotations provide a common platform for WCET analysis, improving portability and reducing the effort necessary to create these vital tools. We examine the features that make Java's annotation standard attractive for WCET analysis, then discuss its current failings and make recommendations for future improvements.","1530-2075","1-4244-0909-8","10.1109/IPDPS.2007.370346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228074","","Java;Real time systems;Processor scheduling;Job shop scheduling;Time measurement;Upper bound;Performance analysis;Computer science;Prototypes;Failure analysis","","4","","16","IEEE","11 Jun 2007","26-30 March 2007","26-30 March 2007","IEEE","IEEE Conferences"
