"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"py2src: Towards the Automatic (and Reliable) Identification of Sources for PyPI Package","D. -L. Vu","University of Trento, Italy",2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),"20 Jan 2022","2021","","","1394","1396","Selecting which libraries (‘dependencies’ or ‘packages’ in the industry’s jargon) to adopt in a project is an essential task in software development. The quality of the corresponding source code is a key factor behind this selection (from security to timeliness). Yet, how easy is it to find the ‘actual’ source? How reliable is this information? To address this problem, we developed an approach called py2src to automatically identify GitHub source code repositories corresponding to packages in PyPI and automatically provide an indicator of the reliability of such information. We also report a preliminary empirical evaluation of the approach on the top PyPI packages.","2643-1572","978-1-6654-0337-5","10.1109/ASE51524.2021.9678526","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678526","Mining software repository;quantitavie study;Python packages;PyPI;Software factors;Software supply chain","Codes;Supply chains;Reliability engineering;Software;Libraries;Software reliability;Security","","12","","12","IEEE","20 Jan 2022","15-19 Nov. 2021","15-19 Nov. 2021","IEEE","IEEE Conferences"
"Mojo: MLIR-based Performance-Portable HPC Science Kernels on GPUs for the Python Ecosystem","W. Godov; T. Melnichenko; P. Valero-Lara; W. Elwasif; P. Fackler; R. F. da Silva; K. Teranishi; J. Vetter","Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Innovative Computing Laboratory University of Tennessee,, Knoxville, Knoxville, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA","SC25-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis","18 Feb 2026","2025","","","2114","2128","We explore the performance and portability of the novel Mojo language for scientific computing workloads on GPUs. As the first language based on the LLVM's Multi-Level Intermediate Representation (MLIR) compiler infrastructure, Mojo aims to close performance and productivity gaps by combining Python's interoperability and CUDA-like syntax for compile-time portable GPU programming. We target four scientific workloads: a seven-point stencil (memory-bound), BabelStream (memory-bound), miniBUDE (compute-bound), and Hartree-Fock (compute-bound with atomic operations); and compare their performance against vendor baselines on NVIDIA H100 and AMD MI300A GPUs. We show that Mojo's performance is competitive with CUDA and HIP for memory-bound kernels, whereas gaps exist on AMD GPUs for atomic operations and for fast-math compute-bound kernels on both AMD and NVIDIA GPUs. Although the learning curve and programming requirements are still fairly low-level, Mojo can close significant gaps in the fragmented Python ecosystem in the convergence of scientific computing and AI.","","979-8-4007-1871-7","","UT-Battelle, LLC(grant numbers:DE-AC05-00OR22725); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11358157","Mojo;GPU;HPC;science kernels;performance portability;productivity;Python","Productivity;Scientific computing;Ecosystems;Graphics processing units;Syntactics;Kernel;Hip;Optimization;Interoperability;Python","","","","","","18 Feb 2026","16-21 Nov. 2025","16-21 Nov. 2025","IEEE","IEEE Conferences"
"Cython for Speeding-up Genetic Algorithm","A. F. Gad; F. Ezzahra Jarmouni","Information Technology, Faculty of Computers and Information, Menoufia, Egypt; École Nationale Supérieure d'Informatique et d'Analyse des Systèmes (ENSIAS), Rabat, Morocco",2020 International Conference on Electrical and Information Technologies (ICEIT),"10 Jun 2020","2020","","","1","4","This paper proposes a library for implementing the genetic algorithm using Python mainly in NumPy and speeding-up its execution using Cython. The preliminary Python implementation is inspected for possible optimizations. The 4 main changes include statically defining data types for the NumPy arrays, specifying the data type of the array elements in addition to the number of dimensions, using indexing for looping through the arrays, and finally disabling some unnecessary features in Cython. Using Cython, the NumPy array processing is 1250 times faster than CPython. The Cythonized version of the genetic algorithm is 18 times faster than the Python version.","","978-1-7281-4341-5","10.1109/ICEIT48248.2020.9113210","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9113210","Genetic Algorithm;Cython;Python;NumPy;Optimization","Codes;Libraries;Arrays;Information technology;Optimization;Genetic algorithms;Indexing","","1","","6","IEEE","10 Jun 2020","4-7 March 2020","4-7 March 2020","IEEE","IEEE Conferences"
"Numba-Based Non-Local Means Filter for SAR Image Denoising","G. Devendhar; P. Singh; R. Sharma","Dept. of Electronics and Communication Engg., National Institute of Technology, Hamirpur, Himachal Pradesh, India; Dept. of Electronics and Communication Engg., National Institute of Technology, Hamirpur, Himachal Pradesh, India; Dept. of Electronics and Communication Engg., National Institute of Technology, Hamirpur, Himachal Pradesh, India",2024 16th International Conference on Computer and Automation Engineering (ICCAE),"1 Jul 2024","2024","","","467","471","Synthetic Aperture Radar (SAR) images are an essential tool for earth observation and remote sensing, but speckle can degrade the quality of such images. Image processing techniques such as filtering and averaging can effectively reduce the impact of noise on images. This paper evaluates the performance of the hybrid nonlocal means (NLM) filter in denoising Sentinel-1 SAR images. The proposed approach combines adaptive exponential kernel-based pre-processing with an NLM filter. The NLM algorithm is computationally intensive and time-consuming due to its pixel-by-pixel denoising based on extended neighborhood similarities. To address this challenge, this paper explores parallelization of the NLM algorithm using NUMBA, a Python compiler, to accelerate its performance. It is found that the proposed approach shows a significant improvement in terms of Peak Signal-to-Noise Ratio (PSNR), Structural Similarity Index (SSIM), and Mean Squared Error (MSE) and performs better than conventional NLM filters and even provides the greatest speedup when compared to earlier parallel NLM techniques.","2154-4360","979-8-3503-7005-8","10.1109/ICCAE59995.2024.10569408","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10569408","NLM;denoising;Multi-processing;Parallelization;Numba;SMP","PSNR;Filtering;Noise reduction;Filtering algorithms;Speckle;Radar polarimetry;Indexes","","","","15","IEEE","1 Jul 2024","14-16 March 2024","14-16 March 2024","IEEE","IEEE Conferences"
"License compatibility for Python packages: the FASTEN PyPI plugin","M. Scarlato; L. Nöth","Endocode AG, Germany; Endocode AG, Germany",2023 17th International Conference on Open Source Systems and Technologies (ICOSST),"31 Jan 2024","2023","","","1","6","This work presents an early and functioning version of the PyPI plugin. This FASTEN component runs on the developer’s side, aiming at providing licensing and vulnerability analysis on the source code provided. The paper focuses on the licensing components involved in FASTEN, which are helpful to the plugin execution. The workflow at the FASTEN architectural and plugin level is described in detail. We evaluated the PyPI plugin, using a reduced version focusing on the license detection and compliance verification, by analyzing selected GitHub repositories finding several license issues that we commented on in our result evaluation.","2770-8225","979-8-3503-8132-0","10.1109/ICOSST60641.2023.10414206","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10414206","PyPI;Python;Software Licensing;Open Source Software;license compatibility","Source coding;Focusing;Licenses;Software development management","","","","12","IEEE","31 Jan 2024","20-21 Dec. 2023","20-21 Dec. 2023","IEEE","IEEE Conferences"
"34.2 A 21pJ/frame/pixel Imager and 34pJ/frame/pixel Image Processor for a Low-Vision Augmented-Reality Smart Contact Lens","R. Singh; S. Bailey; P. Chang; A. Olyaei; M. Hekmat; R. Winoto","Mojo Vision, Saratoga, CA; Mojo Vision, Saratoga, CA; Mojo Vision, Saratoga, CA; Mojo Vision, Saratoga, CA; Mojo Vision, Saratoga, CA; Mojo Vision, Saratoga, CA",2021 IEEE International Solid-State Circuits Conference (ISSCC),"3 Mar 2021","2021","64","","482","484","Over 253 million people worldwide suffer from permanent visual impairments (e.g., glaucoma, diabetic retinopathy, retinitis pigmentosa and macular degeneration) that cannot be rectified using refractive correction or surgery. Such patients rely on canes, monoculars, or service dogs for mobility, which while effective, do not provide rich information and are not hands-free. Recently, low-vision augmented-reality (AR) headsets have been developed to provide hands-free, real-time, enhanced-image overlays that highlight objects and obstacles. However, social stigma and form factor impede their adoption. We introduce a complete, enhanced-image overlay solution for a socially transparent AR contact lens for low-vision patients that provides a rich set of controllable image overlays such as contrast enhancement, edge detection, and zoom. The lens consists of three main components: an outward-looking imager, an image processor, and a microLED display. The lens captures the scene from the wearer's central vision, performs a user-specified image processing task (e.g., edge detection), and sends the result to the display, which, along with its miniature optics, projects images directly onto the retina, highlighting outlines of real-world objects.","2376-8606","978-1-7281-9549-0","10.1109/ISSCC42613.2021.9365771","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9365771","","Visualization;Image edge detection;Surgery;Solid state circuits;Task analysis;Augmented reality;Lenses","","12","","6","IEEE","3 Mar 2021","13-22 Feb. 2021","13-22 Feb. 2021","IEEE","IEEE Conferences"
"Performance and Metrics Analysis Between Python3 via Mojo","A. K. A. Deo; S. Gupta; R. Kundu; P. Jaiswal; T. Fatma; M. K. Dehury","Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India",2024 2nd International Conference on Sustainable Computing and Smart Systems (ICSCSS),"20 Aug 2024","2024","","","1291","1297","In the field of programming languages, Mojo and Python have gained significant popularity and recognition among developers. While Mojo, a newly emerging language, and Python, a well-established language, both have their own merits and features that make them suitable for various programming tasks. Recent AI techniques such as transformers in Natural Language Processing (NLP), Reinforcement Learning (RL), and Generative Adversarial Networks (GANs) have shown remarkable advancements. However, these techniques face challenges like high computational costs, scalability issues, and integration complexity. While Python features user-friendly syntax and extensive libraries, its interpreted nature can hinder performance for computationally intensive tasks. This research addresses this limitation by introducing Mojo, a high-performance language specifically designed for AI applications. Mojo leverages compilation and advanced optimization techniques to achieve significantly faster execution speeds compared to Python. The Mojo programming language can address these challenges by offering high-performance computation, efficient memory management, and seamless integration with AI frameworks. This can lead to faster processing times, better scalability, and more streamlined development workflows for advanced AI systems. The paper presents empirical evidence demonstrating the substantial performance gains offered by Mojo. Furthermore, the analysis explores several advantages of Mojo beyond raw speed. These include static typing, which enhances code reliability and maintainability, and built-in support for parallelism, enabling efficient utilization of multi-core processors. Additionally, Mojo's seamless integration with existing Python codebases allows developers to leverage the extensive Python ecosystem while enjoying the performance benefits of Mojo.","","979-8-3503-7999-0","10.1109/ICSCSS60660.2024.10625342","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10625342","Mojo;Python;Programming Languages;Performance;AI Applications;Machine Learning;Static Typing;Memory Safety;Multithreading","Scalability;Syntactics;Parallel processing;Natural language processing;Libraries;Computational efficiency;Artificial intelligence","","4","","56","IEEE","20 Aug 2024","10-12 July 2024","10-12 July 2024","IEEE","IEEE Conferences"
"Empirical Evaluation of CPython and Mojo for Performance and Code Comprehensibility","E. M. Campbell; K. O. Babaagba; O. Bamgboye","School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, UK; School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, UK; School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, UK","2026 IEEE 50th Annual Computers, Software, and Applications Conference (COMPSAC)","20 Aug 2026","2026","","","519","524","This research presents an empirical evaluation of CPython and Mojo with respect to two key dimensions: execution performance and qualitative software quality attributes, most notably code readability. While CPython is renowned for its expressive syntax and Mojo for its explicit memory control, the impact of code readability on performance and overall code quality remains unclear. To investigate this, we conduct a systematic empirical comparison using a dual benchmarking methodology that integrates macro-benchmarking (wall time, CPU time) with micro-benchmarking at the function level. Six representative algorithmic workloads are evaluated: random integer generation, Fibonacci computation, matrix multiplication, quick sort, A* pathfinding, and Conway's Game of Life. The study evaluates performance through a combination of quantitative complexity metrics and a two-stage code review process. In terms of performance, Mojo significantly outperforms CPython in numerically intensive and compute-bound tasks, achieving speed-ups of up to 77× in matrix multiplication and notable performance improvements in sorting benchmarks. In contrast, CPython consistently ranks higher in readability and developer experience, offering clearer error messages and more concise implementations. The result confirms Mojo as a promising option for performance-critical components, particularly in scientific and data-intensive computing such as machine learning. Furthermore, a hybrid approach integrating Mojo for computational hotspots within Python-based systems can emerge as the most practical development strategy. The research contributes to a reproducible benchmarking and evaluation framework to support future research as Mojo evolves.","2836-3795","979-8-3315-4497-3","10.1109/COMPSAC69091.2026.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11645285","CPython;Mojo;Software Quality;Code Readability;Execution Performance","Timing;Python;Matrices;Codes;Benchmark testing;Sorting;Memory;Games;Measurement;Printing","","","","11","IEEE","20 Aug 2026","7-10 July 2026","7-10 July 2026","IEEE","IEEE Conferences"
"A Comprehensive Review of Mojo: A High-Performance Programming Language","P. D. Akre; U. Pacharaney","Department of Artificial Intelligence and Data Science, Faculty of Engineering and Technology, Datta Meghe Institute of Higher Education and Research, Wardha, Maharashtra, India; Department of Artificial Intelligence and Machine Learning, Faculty of Engineering and Technology, Datta Meghe Institute of Higher Education and Research, Wardha, Maharashtra, India",2025 6th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI),"20 Feb 2025","2025","","","861","867","As artificial intelligence continues to advance at an unprecedented pace, the selection of programming languages significantly affects development processes, workflows, and outcomes. Mojo, a novel programming language, has gained attention through its integration of Python-like syntax, Rust-inspired safety features, and superior performance characteristics. This paper evaluates Mojo across four critical dimensions: distinctive features, performance metrics, ecosystem maturity, and practical applications, while examining potential adoption barriers. Positioned at the intersection of high-level programming simplicity and low-level performance optimization, Mojo demonstrates particular utility for artificial intelligence developers requiring both flexibility and computational efficiency. Through analysis of prominent libraries, including Endia, Lightbug HTTP, Basalt, and LLM.mojo, this study examines Mojo's capabilities and limitations. By presenting a comparative analysis of Mojo's features, emerging ecosystem, and applicability to artificial intelligence development, this research addresses the current literature gap and provides substantive insights into this emerging programming language.","","979-8-3315-2266-7","10.1109/ICMCSI64620.2025.10883176","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10883176","Mojo;programming;Python;Rust;Aritficial Intelligence;CUDA","Reviews;Ecosystems;Syntactics;Programming;Libraries;Real-time systems;Safety;Artificial intelligence;Optimization;Python","","","","22","IEEE","20 Feb 2025","7-8 Jan. 2025","7-8 Jan. 2025","IEEE","IEEE Conferences"
"MojoFrame: Dataframe Library in Mojo Language","S. Huang; Z. Li; D. Werner; Y. Park",University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign,2026 IEEE 42nd International Conference on Data Engineering (ICDE),"12 Aug 2026","2026","","","1391","1405","Mojo is an emerging programming language built on MLIR (Multi-Level Intermediate Representation) and supports JIT (Just-in-Time) compilation. It enables transparent hardwarespecific optimizations (e.g., for CPUs and GPUs), while allowing users to express their logic using Python-like user-friendly syntax. Mojo has demonstrated strong performance on tensor operations; however, its capabilities for relational operations (e.g., filtering, join, and group-by aggregation) common in data science workflows, remain unexplored. To date, no dataframe implementation exists in the Mojo ecosystem. In this paper, we introduce the first Mojo-native dataframe library, called MojoFrame, that supports core relational operations and user-defined functions (UDFs). MojoFrame is built on top of Mojo's tensor to achieve fast operations on numeric columns, while utilizing a cardinality-aware approach to effectively integrate non-numeric columns for flexible data representation. To achieve high efficiency, MojoFrame takes significantly different approaches than existing libraries. We show that MojoFrame supports all operations for TPC-H queries and a selection of TPC-DS queries with promising performance, achieving up to 4.60× speedup versus existing dataframe libraries in other programming languages. Nevertheless, there remain optimization opportunities for MojoFrame (and the Mojo language), particularly in in-memory data representation and dictionary operations.","2375-026X","979-8-3315-8365-1","10.1109/ICDE65706.2026.00108","National Science Foundation(grant numbers:#2440498,#2312561); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11629348","dataframe systems;mojo language;query compilation;mlir;jit compilation;in-memory analytics","Libraries;Printing;Python;Timing;Tensors;Data science;Graphics processing units;Optimization;Memory;Codes","","","","134","IEEE","12 Aug 2026","4-8 May 2026","4-8 May 2026","IEEE","IEEE Conferences"
