year,title,venue,topic
1999,Applying formal proof techniques to avionics software: A pragmatic approach,Lecture Notes in Computer Science,formal verification / avionics
2001,Formal analysis of a space-craft controller using SPIN,ARTICLE,model checking / spacecraft
2008,Gradual typing with unification-based inference,DLS'08: Proceedings of the 2008 Symposium on Dynamic Languages,gradual typing / type inference
2009,Towards gradual typing for generics,Proceedings for the 1st Workshop on Script to Program Evolution,gradual typing
2009,Principal type schemes for gradual programs,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,gradual typing / type inference
2010,Integrating model checking with safety-critical I&C software design,7th International Topical Meeting on Nuclear Plant Instrumentation, Control, and Human-Machine Interface Technologies 2010,model checking / safety-critical systems
2011,Preemptive type checking in dynamically typed languages,Lecture Notes in Computer Science,type checking / Python-like dynamic languages
2013,Static type analysis for python,Proceedings - 11th Web Information System and Application Conference, WISA 2014,Python static analysis / type inference
2013,On the cost of type-tag soundness,PEPM 2018 - Proceedings of the ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,gradual typing / performance
2013,Verification conditions for source-level imperative programs,ARTICLE,deductive verification / model checking
2013,Testing or formal verification: DO-178C alternatives and industrial experience,IEEE Software,formal verification / DO-178C
2014,How do programmers use optional typing? An empirical study,MODULARITY 2014,optional typing
2014,A case study of specification and verification using JML in an avionics application,ACM International Conference Proceeding Series,deductive verification / avionics
2014,Formal verification of avionics software products,ARTICLE,formal verification / avionics
2015,Static value analysis of python programs by abstract interpretation,Lecture Notes in Computer Science,Python abstract interpretation
2015,How Good Are Your Types? Using Mutation Analysis to Evaluate the Effectiveness of Type Annotations,ICSTW 2017,type annotations / evaluation
2015,Principal type schemes for gradual programs,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,gradual typing
2016,Formal verification of avionics self adaptive software: A case study,ACM International Conference Proceeding Series,formal verification / avionics
2017,An approach to formal verification of python software transactional memory,ACM International Conference Proceeding Series,Python formal verification
2017,Big types in little runtime: Open-world soundness and collaborative blame for gradual type systems,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,gradual typing
2017,How Good Are Your Types? Using Mutation Analysis to Evaluate the Effectiveness of Type Annotations,ICSTW 2017,type annotations
2018,Static value analysis of python programs by abstract interpretation,Lecture Notes in Computer Science,Python static analysis / abstract interpretation
2018,DLInfer: Deep Learning with Static Slicing for Python Type Inference,Proceedings - International Conference on Software Engineering,Python type inference
2018,Model-based verification and testing methodology for safety-critical airborne systems,Communications in Computer and Information Science,airborne verification
2019,Sim: A Contract-Based Programming Language for Safety-Critical Software,AIAA/IEEE Digital Avionics Systems Conference - Proceedings,contracts / safety-critical software
2019,Towards rust for critical systems,ISSREW 2019,safety-critical programming languages
2020,An empirical study on dynamic typing related practices in python systems,IEEE International Conference on Program Comprehension,Python dynamic typing practices
2020,Optimizing and evaluating transient gradual typing,DLS 2019 - Proceedings of the 15th ACM SIGPLAN International Symposium on Dynamic Languages,gradual typing / performance
2020,Model checking python programs with MSVL,Lecture Notes in Computer Science,Python model checking
2020,Taming type annotations in gradual typing,Proceedings of the ACM on Programming Languages,gradual typing
2021,Static Type Inference for Foreign Functions of Python,Proceedings - International Symposium on Software Reliability Engineering, ISSRE,Python type inference
2021,Verification support for ARINC-653-based avionics software,Software Testing Verification and Reliability,avionics verification
