"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Gomez I.; Díaz de Cerio U.; Rivas J.M.; Gutiérrez J.J.; González Harbour M.","Gomez, Iosu (58035709300); Díaz de Cerio, Unai (56825986900); Rivas, Juan M. (50861915600); Gutiérrez, J. Javier (7004505028); González Harbour, Michael (57431519000)","58035709300; 56825986900; 50861915600; 7004505028; 57431519000","Real-time modeling and analysis of a smart mobility use case running on heterogeneous MPSoC hardware and ROS 2","2026","Real-Time Systems","62","1","3","","","0","10.1007/s11241-026-09458-y","https://www.scopus.com/pages/publications/105048056655?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105048056655"
"Hu X.; Zhang H.; Li H.","Hu, Xiaobing (8385810600); Zhang, Hanmiao (60366669300); Li, Hang (56540338000)","8385810600; 60366669300; 56540338000","Urban Air Mobility Risk Assessment and Safety Control over Large-Scale Public Events: A City Marathon Case Study","2026","Drones","10","1","46","","","1","10.3390/drones10010046","https://www.scopus.com/pages/publications/105029078534?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029078534"
"Sivaramakrishnan V.; Kalagarla K.C.; Devonport R.; Pilipovsky J.; Tsiotras P.; Oishi M.","Sivaramakrishnan, Vignesh (57208919388); Kalagarla, Krishna C. (57221143122); Devonport, Rosalyn (57195446819); Pilipovsky, Joshua (57221141891); Tsiotras, Panagiotis (7006580129); Oishi, Meeko (58235763800)","57208919388; 57221143122; 57195446819; 57221141891; 7006580129; 58235763800","SAVER: A Toolbox for SAmpling-Based, Probabilistic VERification of Neural Networks","2025","HSCC 2025 - Proceedings of the 28th International Conference on Hybrid Systems: Computation and Control, part of CPS-IoT Week","","","26","","","1","10.1145/3716863.3718045","https://www.scopus.com/pages/publications/105007530001?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007530001"
"Wang H.; Myint S.; Verma V.; Winetraub Y.; Yang J.; Cidon A.","Wang, Haoda (57847787400); Myint, Steven (35185490400); Verma, Vandi (57213651637); Winetraub, Yonatan (36155882600); Yang, Junfeng (36676080800); Cidon, Asaf (36674660200)","57847787400; 35185490400; 57213651637; 36155882600; 36676080800; 36674660200","Radshield: Software Radiation Protection for Commodity Hardware in Space","2025","International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","1-A","","","219","233","1","10.1145/3760250.3762218","https://www.scopus.com/pages/publications/105036360870?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105036360870"
"Irshad L.; Hulse D.","Irshad, Lukman (57204726657); Hulse, Daniel (57197784305)","57204726657; 57197784305","Toward Early Design Modeling and Simulation of Distributed Situation Awareness","2025","Journal of Computing and Information Science in Engineering","25","6","061001","","","1","10.1115/1.4067705","https://www.scopus.com/pages/publications/105017966989?origin=resultslist","Article","Final","","Scopus","2-s2.0-105017966989"
"Gupta S.; Rezayat S.; Burmester G.; Durak U.; Ma H.; Hartmann S.","Gupta, Siddhartha (57219358086); Rezayat, Sarmad (59415633900); Burmester, Gerrit (57195494531); Durak, Umut (24334630800); Ma, Hui (60168402700); Hartmann, Sven (57203030657)","57219358086; 59415633900; 57195494531; 24334630800; 60168402700; 57203030657","From ConOps to an Operational Domain Model: Harnessing LLMs for Conceptual Model Design","2026","Lecture Notes in Computer Science","16190 LNCS","","","137","156","1","10.1007/978-3-032-08620-4_9","https://www.scopus.com/pages/publications/105020665791?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105020665791"
"Bridges C.F.; Stirgwolt B.W.","Bridges, Christina F. (60727453300); Stirgwolt, Benjamin W. (57270033400)","60727453300; 57270033400","Impacts of Change-Type and State-Type System Qualities on Complex System Architectures","2026","Systems Engineering","","","","","","0","10.1002/sys.70071","https://www.scopus.com/pages/publications/105044036440?origin=resultslist","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105044036440"
"Choe W.; Wang R.; Benazir A.; Lin F.X.","Choe, Wonkyo (57219054469); Wang, Rongxiang (58754226400); Benazir, Afsara (57250034600); Lin, Felix Xiaozhu (36976132900)","57219054469; 58754226400; 57250034600; 36976132900","Proto: A Guided Journey through Modern OS Construction","2025","SOSP 2025 - Proceedings of the 2025 ACM SIGOPS 31st Symposium on Operating Systems Principles","","","","50","66","0","10.1145/3731569.3764811","https://www.scopus.com/pages/publications/105020858235?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020858235"
"Wang Z.; Dos Santos De Souza F.L.; Gurtov A.; Wzorek M.","Wang, Zelong (59545060600); Dos Santos De Souza, Flavio Luiz (59709714500); Gurtov, Andrei (6506910785); Wzorek, Mariusz (14042586000)","59545060600; 59709714500; 6506910785; 14042586000","A Survey on Drone Remote ID Architectures, With an Emphasis on Security","2026","IEEE Open Journal of the Communications Society","7","","","9551","9583","0","10.1109/OJCOMS.2026.3717215","https://www.scopus.com/pages/publications/105046254509?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105046254509"
"Long C.; Li Z.; Jin S.; Shin K.G.; Zhang D.; Wang Z.; Pang Z.","Long, Cheng (59921648800); Li, Zonghui (55848713900); Jin, Shuxian (58965408900); Shin, Kang G. (60168282100); Zhang, Daquan (60651483300); Wang, Zixiao (57188861051); Pang, Zhibo (26649033300)","59921648800; 55848713900; 58965408900; 60168282100; 60651483300; 57188861051; 26649033300","Enhancing End-to-End Delay Satisfiability for IEEE 802.1Qav","2026","IEEE Transactions on Industrial Cyber-Physical Systems","4","","","368","379","0","10.1109/TICPS.2026.3696600","https://www.scopus.com/pages/publications/105040260638?origin=resultslist","Article","Final","","Scopus","2-s2.0-105040260638"
