Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A long-term exploratory study of source code quality issues in open-source Python projects,Software Quality Journal,,,,10.1007/s11219-026-09740-z,Liviu-Marian BerciuSimona Claudia MotognaArthur-Jozsef Molnar,2026,https://link.springer.com/article/10.1007/s11219-026-09740-z,Article
Type-Checking Heterogeneous Sequences in&#xa0;a&#xa0;Simple Embeddable Type System,Practical Aspects of Declarative Languages,,,,10.1007/978-3-031-84924-4_2,Jim Newton,2025,https://link.springer.com/chapter/10.1007/978-3-031-84924-4_2,Conference paper
An empirical study of fault localization in Python programs,Empirical Software Engineering,,,,10.1007/s10664-024-10475-3,Mohammad RezaalipourCarlo A. Furia,2024,https://link.springer.com/article/10.1007/s10664-024-10475-3,Article
Goblint: A Portfolio for Mixed Flow-Sensitive Abstract Interpretation,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-032-22749-2_26,Simmo SaanAli Rasim KocalMichael PetterKaroliine HolterJulian ErhardMichael SchwarzVesal VojdaniHelmut Seidl,2026,https://link.springer.com/chapter/10.1007/978-3-032-22749-2_26,Conference paper
Try-Mopsa: Relational Static Analysis in&#xa0;Your Pocket,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-032-15700-3_10,Raphaël Monat,2026,https://link.springer.com/chapter/10.1007/978-3-032-15700-3_10,Conference paper
Automated Clone Elimination in&#xa0;Python Tests,"Leveraging Applications of Formal Methods, Verification and Validation. Software Engineering Methodologies",,,,10.1007/978-3-031-75387-9_7,Sebastian KingstonViolet Ka I PunVolker Stolz,2025,https://link.springer.com/chapter/10.1007/978-3-031-75387-9_7,Conference paper
Towards combining chain-of-thought and code static analysis for buffer overflow vulnerability detection,Software Quality Journal,,,,10.1007/s11219-025-09733-4,Yuan HuangYinan ChenJiahong CaiJunlong WuXiangping ChenPengfei ShenLei Yun,2025,https://link.springer.com/article/10.1007/s11219-025-09733-4,Article
Do code LLMs do static analysis?,Empirical Software Engineering,,,,10.1007/s10664-026-10853-z,Chia-Yi SuCollin McMillan,2026,https://link.springer.com/article/10.1007/s10664-026-10853-z,Article
An extensive study of the effects of different deep learning models on code vulnerability detection in Python code,Automated Software Engineering,,,,10.1007/s10515-024-00413-4,Rongcun WangSenlei XuXingyu JiYuan TianLina GongKe Wang,2024,https://link.springer.com/article/10.1007/s10515-024-00413-4,Article
An empirical study of automated unit test generation for Python,Empirical Software Engineering,,,,10.1007/s10664-022-10248-w,Stephan LukasczykFlorian KroißGordon Fraser,2023,https://link.springer.com/article/10.1007/s10664-022-10248-w,Article
