Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Delta Store Semantics: Abstract Garbage Collection for&#xa0;Abstract Definitional Interpreters,Static Analysis,,,,10.1007/978-3-032-07106-4_16,Noah Van EsBram VandenbogaerdeCoen De Roover,2026,https://link.springer.com/chapter/10.1007/978-3-032-07106-4_16,Conference paper
Is code coverage of performance tests related to source code features? An empirical study on open-source Java systems,Empirical Software Engineering,,,,10.1007/s10664-025-10712-3,Muhammad ImranVittorio CortellessaDavide Di RuscioRiccardo RubeiLuca Traini,2025,https://link.springer.com/article/10.1007/s10664-025-10712-3,Article
The Java Verification Tool KeY:A Tutorial,Formal Methods,,,,10.1007/978-3-031-71177-0_32,Bernhard BeckertRichard BubelDaniel DrodtReiner HähnleFlorian LanzingerWolfram PfeiferMattias UlbrichAlexander Weigl,2025,https://link.springer.com/chapter/10.1007/978-3-031-71177-0_32,Conference paper
Testing the past: can we still run tests in past snapshots for Java projects?,Empirical Software Engineering,,,,10.1007/s10664-024-10530-z,Michel Maes-BermejoMicael GallegoFrancisco GortázarGregorio RoblesJesus M. Gonzalez-Barahona,2024,https://link.springer.com/article/10.1007/s10664-024-10530-z,Article
An Empirical Study on Automated Test Generation Tools for Java: Effectiveness and Challenges,Journal of Computer Science and Technology,,,,10.1007/s11390-023-1935-5,Xiang-Jun LiuPing YuXiao-Xing Ma,2024,https://link.springer.com/article/10.1007/s11390-023-1935-5,Article
Comparing effectiveness and efficiency of Interactive Application Security Testing (IAST) and Runtime Application Self-Protection (RASP) tools in a large java-based system,Empirical Software Engineering,,,,10.1007/s10664-025-10621-5,Aishwarya SethSaikath BhattacharyaSarah ElderNusrat ZahanLaurie Williams,2025,https://link.springer.com/article/10.1007/s10664-025-10621-5,Article
NetChecker: enabling real-time and error-locatable runtime verification for programmable networks,"Journal of King Saud University Computer and Information Sciences ",,,,10.1007/s44443-025-00083-6,Ying YaoLe TianYuxiang Hu,2025,https://link.springer.com/article/10.1007/s44443-025-00083-6,Article
From High-Level Types to&#xa0;Low-Level Monitors: Synthesizing Verified Runtime Checkers for&#xa0;MAVLink,NASA Formal Methods,,,,10.1007/978-3-032-28079-4_5,Arthur AmorimPaul GazzilloMax TaylorLance Joneckis,2026,https://link.springer.com/chapter/10.1007/978-3-032-28079-4_5,Conference paper
Assessing the effectiveness of large language models for Java vulnerability repair: A comparative study,Automated Software Engineering,,,,10.1007/s10515-026-00622-z,Obieda AnanbehWala AlnozamiDae-Kyoo Kim,2026,https://link.springer.com/article/10.1007/s10515-026-00622-z,Article
End-to-End Mechanized Proof of&#xa0;a&#xa0;JIT-Accelerated eBPF Virtual Machine for&#xa0;IoT,Computer Aided Verification,,,,10.1007/978-3-031-65627-9_16,Shenghao YuanFrédéric BessonJean-Pierre Talpin,2024,https://link.springer.com/chapter/10.1007/978-3-031-65627-9_16,Conference paper
$$\mathbf{{\textsc {PyCaliper}}}$$ : Python-Embedded Infrastructure for&#xa0;RTL Verification and&#xa0;Specification Synthesis,Computer Aided Verification,,,,10.1007/978-3-031-98682-6_21,Adwait GodboleBrian HuffmanFangfei LiuCarlos V RozasSanjit A. Seshia,2025,https://link.springer.com/chapter/10.1007/978-3-031-98682-6_21,Conference paper
<span>RIMFuzz</span>: real-time impact-aware mutation for library API fuzzing,"Journal of King Saud University Computer and Information Sciences ",,,,10.1007/s44443-025-00050-1,Xiaoke WangLei Zhao,2025,https://link.springer.com/article/10.1007/s44443-025-00050-1,Article
Learning Real-Time One-Counter Automata Using Polynomially Many Queries,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-031-90643-5_14,Prince MathewVincent PenelleA. V. Sreejith,2025,https://link.springer.com/chapter/10.1007/978-3-031-90643-5_14,Conference paper
PyEuclid: A Versatile Formal Plane Geometry System in&#xa0;Python,Computer Aided Verification,,,,10.1007/978-3-031-98685-7_20,Zhaoyu LiHangrui BiJialiang SunZenan LiKaiyu YangXujie Si,2025,https://link.springer.com/chapter/10.1007/978-3-031-98685-7_20,Conference paper
Blending BDI Agents with Object-Oriented and Functional Programming with JaKtA,SN Computer Science,,,,10.1007/s42979-024-03244-y,Martina BaiardiSamuele BurattiniGiovanni CiattoDanilo Pianini,2024,https://link.springer.com/article/10.1007/s42979-024-03244-y,Article
SAT-Based Synthesis of&#xa0;Minimal Deterministic Real-Time Automata via&#xa0;3DRTA Representation,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-032-15700-3_9,Junjie MengJie AnYong LiAndrea TurriniMiaomiao Zhang,2026,https://link.springer.com/chapter/10.1007/978-3-032-15700-3_9,Conference paper
MetaCodeGAN-MPC: a multi-pattern conditional GAN with differentiable conformance loss for automated test input generation,Automated Software Engineering,,,,10.1007/s10515-026-00658-1,Imad H. HasanMoayad Y. Potrus,2026,https://link.springer.com/article/10.1007/s10515-026-00658-1,Article
A comprehensive catalog of refactoring strategies to handle test smells in Java-based systems,Software Quality Journal,,,,10.1007/s11219-024-09663-7,Luana MartinsTaher A. GhalebHeitor CostaIvan Machado,2024,https://link.springer.com/article/10.1007/s11219-024-09663-7,Article
Improving the&#xa0;Readability of&#xa0;Generated Tests Using GPT-4 and&#xa0;ChatGPT Code Interpreter,Search-Based Software Engineering,,,,10.1007/978-3-031-48796-5_11,Gregory Gay,2024,https://link.springer.com/chapter/10.1007/978-3-031-48796-5_11,Conference paper
Cost-sensitive precomputation of real-time-aware reconfiguration strategies based on stochastic priced timed games,Software and Systems Modeling,,,,10.1007/s10270-024-01195-9,Hendrik GöttmannBirte CaesarLasse BeersMalte LochauAndy SchürrAlexander Fay,2024,https://link.springer.com/article/10.1007/s10270-024-01195-9,Article
A Practical and&#xa0;Complete Method for&#xa0;Detecting rt-Inconsistencies in&#xa0;Real-Time Requirements,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-032-21423-2_19,Nico HauffElisabeth HenkelElisabeth FünfgeldVincent LangenfeldAndreas Podelski,2026,https://link.springer.com/chapter/10.1007/978-3-032-21423-2_19,Conference paper
Optimisation of Reasoning over Ontologies on Embedded Hardware for Avionics-Context Semantic-Aware to Generate Minimisation of Computation Time and Memory Footprint,The Semantic Web: ESWC 2024 Satellite Events,,,,10.1007/978-3-031-78955-7_1,Youssef Amari,2025,https://link.springer.com/chapter/10.1007/978-3-031-78955-7_1,Conference paper
Reasoning About Incompletely Defined Programs,Journal of Automated Reasoning,,,,10.1007/s10817-025-09722-z,Christoph Walther,2025,https://link.springer.com/article/10.1007/s10817-025-09722-z,Article
