title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Book Series Title,Journal Volume,Journal Issue,Item DOI,URL,Content Type,"﻿""Authors""",Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Cited by,Link,Document Type,Publication Stage,Open Access,Source,EID,year,venue,keyword,notes,author,isbn,publisher,address,url,doi,abstract,booktitle,pages,numpages,location,keywords,series,issue_date,volume,number,issn,journal,articleno,note,editor,edition,NDVI,_t,__source_file,__filter_reason,__duplicate_of_title
Mojo: MLIR-based Performance-Portable HPC Science Kernels on GPUs for the Python Ecosystem,,,,,,,,,,,,,10.1145/3731599.3767573,,,,,,,,,,,,,,,,,,,,,Godoy W.; Melnichenko T.; Valero-Lara P.; Elwasif W.; Fackler P.; Da Silva R.F.; Teranishi K.; Vetter J.,"Godoy, William (57196322082); Melnichenko, Tatiana (60155109000); Valero-Lara, Pedro (42962484800); Elwasif, Wael (6507514438); Fackler, Philip (58040235200); Da Silva, Rafael Ferreira (57203350869); Teranishi, Keita (56405270700); Vetter, Jeffrey (7103238018)",57196322082; 60155109000; 42962484800; 6507514438; 58040235200; 57203350869; 56405270700; 7103238018,2025,"Proceedings of 2025 Workshops of the International Conference on High Performance Computing, Network, Storage, and Analysis, SC 2025 Workshops",,2114,2128,0,https://www.scopus.com/pages/publications/105023397193?origin=resultslist,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105023397193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),Mojo: MLIR-based Performance-Portable HPC Science Kernels on GPUs for the Python Ecosystem
Mojo: MLIR-based Performance-Portable HPC Science Kernels on GPUs for the Python Ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,"Godoy, William and Melnichenko, Tatiana and Valero-Lara, Pedro and Elwasif, Wael and Fackler, Philip and Ferreira Da Silva, Rafael and Teranishi, Keita and Vetter, Jeffrey",9798400718717,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3731599.3767573,10.1145/3731599.3767573,"We explore the performance and portability of the novel Mojo language for scientific computing workloads on GPUs. As the first language based on the LLVM’s Multi-Level Intermediate Representation (MLIR) compiler infrastructure, Mojo aims to close performance and productivity gaps by combining Python’s interoperability and CUDA-like syntax for compile-time portable GPU programming. We target four scientific workloads: a seven-point stencil (memory-bound), BabelStream (memory-bound), miniBUDE (compute-bound), and Hartree–Fock (compute-bound with atomic operations); and compare their performance against vendor baselines on NVIDIA H100 and AMD MI300A GPUs. We show that Mojo’s performance is competitive with CUDA and HIP for memory-bound kernels, whereas gaps exist on AMD GPUs for atomic operations and for fast-math compute-bound kernels on both AMD and NVIDIA GPUs. Although the learning curve and programming requirements are still fairly low-level, Mojo can close significant gaps in the fragmented Python ecosystem in the convergence of scientific computing and AI.","Proceedings of the SC '25 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",2114–2128,15,,"Mojo, GPU, HPC, science kernels, performance portability, productivity, Python",,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),Mojo: MLIR-based Performance-Portable HPC Science Kernels on GPUs for the Python Ecosystem
Performance and Metrics Analysis between Python3 via Mojo,,,,,,,,,,,,,10.1109/ICSCSS60660.2024.10625342,,,,,,,,,,,,,,,,,,,,,Deo A.K.A.; Gupta S.; Kundu R.; Jaiswal P.; Fatma T.; Dehury M.K.,"Deo, Anuj Kumar Aditya (55917092200); Gupta, Swayam (59313640000); Kundu, Roumo (59207417700); Jaiswal, Piyush (59313641200); Fatma, Taha (59313595700); Dehury, Mohan Kumar (57272041200)",55917092200; 59313640000; 59207417700; 59313641200; 59313595700; 57272041200,2024,"2nd International Conference on Sustainable Computing and Smart Systems, ICSCSS 2024 - Proceedings",,1291,1297,4,https://www.scopus.com/pages/publications/85203108146?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85203108146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),Performance and Metrics Analysis Between Python3 via Mojo
A Comprehensive Review of Mojo: A High-Performance Programming Language,,,,,,,,,,,,,10.1109/ICMCSI64620.2025.10883176,,,,,,,,,,,,,,,,,,,,,Akre P.D.; Pacharaney U.,"Akre, Parth Dhananjay (59558368900); Pacharaney, Utkarsha (56131391900)",59558368900; 56131391900,2025,"6th International Conference on Mobile Computing and Sustainable Informatics, ICMCSI 2025 - Proceedings",,861,867,2,https://www.scopus.com/pages/publications/105000008983?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-105000008983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),A Comprehensive Review of Mojo: A High-Performance Programming Language
Migrating Legacy Fortran to Python While Retaining Fortran-Level Performance through Transpilation and Type Hints,M. Bysiek; A. Drozd; S. Matsuoka,"Tokyo Institute of Technology, Meguro, Tokyo, Japan; Tokyo Institute of Technology, Meguro, Tokyo, Japan; Tokyo Institute of Technology, Meguro, Tokyo, Japan",2016 6th Workshop on Python for High-Performance and Scientific Computing (PyHPC),2 Feb 2017,2016,,,9,18,"We propose a method of accelerating Python code by just-in-time compilation leveraging type hints mechanism introduced in Python 3.5. In our approach performance-critical kernels are expected to be written as if Python was a strictly typed language, however without the need to extend Python syntax. This approach can be applied to any Python application, however we focus on a special case when legacy Fortran applications are automatically translated into Python for easier maintenance. We developed a framework implementing two-way transpilation and achieved performance equivalent to that of Python manually translated to Fortran, and better than using other currently available JIT alternatives (up to 5x times faster than Numba in some experiments).",,978-1-5090-5220-2,10.1109/PyHPC.2016.006,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7836839,Application migration;gradual typing;interoperability;just-in-time compilation;legacy code;software maintenance;transpilation,Kernel;Programming;Optimization;Interoperability;C++ languages;Context;Standards,,11,,15,IEEE,2 Feb 2017,14-14 Nov. 2016,14-14 Nov. 2016,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),Migrating Legacy Fortran to Python While Retaining Fortran-Level Performance through Transpilation and Type Hints
Migrating legacy fortran to python while retaining fortran-level performance through transpilation and type hints,,,,,,,,,,,,,10.1109/PyHPC.2016.006,,,,,,,,,,,,,,,,,,,,,Bysiek M.; Drozd A.; Matsuoka S.,"Bysiek, Mateusz (57193624589); Drozd, Aleksandr (57191439356); Matsuoka, Satoshi (55731216300)",57193624589; 57191439356; 55731216300,2016,"Proceedings of PyHPC 2016: 6th Workshop on Python for High-Performance and Scientific Computing - Held in conjunction with SC16: The International Conference for High Performance Computing, Networking, Storage and Analysis",,9,18,15,https://www.scopus.com/pages/publications/85015344187?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85015344187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),Migrating Legacy Fortran to Python While Retaining Fortran-Level Performance through Transpilation and Type Hints
Migrating legacy fortran to python while retaining fortran-level performance through transpilation and type hints,,,,,,,,,,,,,10.1109/PyHPC.2016.006,,,,,,,,,,,,,,,,,,,,,Bysiek M.; Drozd A.; Matsuoka S.,"Bysiek, Mateusz (57193624589); Drozd, Aleksandr (57191439356); Matsuoka, Satoshi (55731216300)",57193624589; 57191439356; 55731216300,2016,"Proceedings of PyHPC 2016: 6th Workshop on Python for High-Performance and Scientific Computing - Held in conjunction with SC16: The International Conference for High Performance Computing, Networking, Storage and Analysis",,9,18,15,https://www.scopus.com/pages/publications/85015344187?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85015344187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),Migrating Legacy Fortran to Python While Retaining Fortran-Level Performance through Transpilation and Type Hints
Migrating legacy Fortran to Python while retaining Fortran-level performance through transpilation and type hints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,"Bysiek, Mateusz and Drozd, Aleksandr and Matsuoka, Satoshi",9781509052202,IEEE Press,,,,"We propose a method of accelerating Python code by just-in-time compilation leveraging type hints mechanism introduced in Python 3.5. In our approach performance-critical kernels are expected to be written as if Python was a strictly typed language, however without the need to extend Python syntax. This approach can be applied to any Python application, however we focus on a special case when legacy Fortran applications are automatically translated into Python for easier maintenance. We developed a framework implementing two-way transpilation and achieved performance equivalent to that of Python manually translated to Fortran, and better than using other currently available JIT alternatives (up to 5x times faster than Numba in some experiments).",Proceedings of the 6th Workshop on Python for High-Performance and Scientific Computing,9–18,10,"Salt Lake City, Utah","application migration, gradual typing, interoperability, just-in-time compilation, legacy code, software maintenance, transpilation",PyHPC '16,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),Migrating Legacy Fortran to Python While Retaining Fortran-Level Performance through Transpilation and Type Hints
How Well Static Type Checkers Work with Gradual Typing? A Case Study on Python,,,,,,2023-May,,,,,,,10.1109/ICPC58990.2023.00039,,,,,,,,,,,,,,,,,,,,,Xu W.; Chen L.; Su C.; Guo Y.; Li Y.; Zhou Y.; Xu B.,"Xu, Wenjie (58515964400); Chen, Lin (57189042207); Su, Chenghao (58515924400); Guo, Yimeng (58515721600); Li, Yanhui (55992301500); Zhou, Yuming (57022538800); Xu, Baowen (57205479681)",58515964400; 57189042207; 58515924400; 58515721600; 55992301500; 57022538800; 57205479681,2023,IEEE International Conference on Program Comprehension,,242,253,4,https://www.scopus.com/pages/publications/85166379753?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85166379753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),How Well Static Type Checkers Work with Gradual Typing? A Case Study on Python
How Well Static Type Checkers Work with Gradual Typing? A Case Study on Python,,,,,,2023-May,,,,,,,10.1109/ICPC58990.2023.00039,,,,,,,,,,,,,,,,,,,,,Xu W.; Chen L.; Su C.; Guo Y.; Li Y.; Zhou Y.; Xu B.,"Xu, Wenjie (58515964400); Chen, Lin (57189042207); Su, Chenghao (58515924400); Guo, Yimeng (58515721600); Li, Yanhui (55992301500); Zhou, Yuming (57022538800); Xu, Baowen (57205479681)",58515964400; 57189042207; 58515924400; 58515721600; 55992301500; 57022538800; 57205479681,2023,IEEE International Conference on Program Comprehension,,242,253,4,https://www.scopus.com/pages/publications/85166379753?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85166379753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),How Well Static Type Checkers Work with Gradual Typing? A Case Study on Python
