title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Book Series Title,Journal Volume,Journal Issue,Item DOI,URL,Content Type,"﻿""Authors""",Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Cited by,Link,Document Type,Publication Stage,Open Access,Source,EID,year,venue,keyword,notes,author,isbn,publisher,address,url,doi,abstract,booktitle,pages,numpages,location,keywords,series,issue_date,volume,number,issn,journal,articleno,note,editor,edition,NDVI,_t,__source_file,__filter_reason,__duplicate_count
Mojo: MLIR-based Performance-Portable HPC Science Kernels on GPUs for the Python Ecosystem,W. Godov; T. Melnichenko; P. Valero-Lara; W. Elwasif; P. Fackler; R. F. da Silva; K. Teranishi; J. Vetter,"Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Innovative Computing Laboratory University of Tennessee,, Knoxville, Knoxville, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA; Oak Ridge National Laboratory (ORNL), Oak Ridge, Tennessee, USA","SC25-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",18-Feb-26,2025,,,2114,2128,"We explore the performance and portability of the novel Mojo language for scientific computing workloads on GPUs. As the first language based on the LLVM's Multi-Level Intermediate Representation (MLIR) compiler infrastructure, Mojo aims to close performance and productivity gaps by combining Python's interoperability and CUDA-like syntax for compile-time portable GPU programming. We target four scientific workloads: a seven-point stencil (memory-bound), BabelStream (memory-bound), miniBUDE (compute-bound), and Hartree-Fock (compute-bound with atomic operations); and compare their performance against vendor baselines on NVIDIA H100 and AMD MI300A GPUs. We show that Mojo's performance is competitive with CUDA and HIP for memory-bound kernels, whereas gaps exist on AMD GPUs for atomic operations and for fast-math compute-bound kernels on both AMD and NVIDIA GPUs. Although the learning curve and programming requirements are still fairly low-level, Mojo can close significant gaps in the fragmented Python ecosystem in the convergence of scientific computing and AI.",,979-8-4007-1871-7,,"UT-Battelle, LLC(grant numbers:DE-AC05-00OR22725); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11358157,Mojo;GPU;HPC;science kernels;performance portability;productivity;Python,Productivity;Scientific computing;Ecosystems;Graphics processing units;Syntactics;Kernel;Hip;Optimization;Interoperability;Python,,,,,,18-Feb-26,16-21 Nov. 2025,16-21 Nov. 2025,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),3
Performance and Metrics Analysis Between Python3 via Mojo,A. K. A. Deo; S. Gupta; R. Kundu; P. Jaiswal; T. Fatma; M. K. Dehury,"Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India; Amity Institute of Information Technology Amity University, Jharkhand Ranchi, India",2024 2nd International Conference on Sustainable Computing and Smart Systems (ICSCSS),20-Aug-24,2024,,,1291,1297,"In the field of programming languages, Mojo and Python have gained significant popularity and recognition among developers. While Mojo, a newly emerging language, and Python, a well-established language, both have their own merits and features that make them suitable for various programming tasks. Recent AI techniques such as transformers in Natural Language Processing (NLP), Reinforcement Learning (RL), and Generative Adversarial Networks (GANs) have shown remarkable advancements. However, these techniques face challenges like high computational costs, scalability issues, and integration complexity. While Python features user-friendly syntax and extensive libraries, its interpreted nature can hinder performance for computationally intensive tasks. This research addresses this limitation by introducing Mojo, a high-performance language specifically designed for AI applications. Mojo leverages compilation and advanced optimization techniques to achieve significantly faster execution speeds compared to Python. The Mojo programming language can address these challenges by offering high-performance computation, efficient memory management, and seamless integration with AI frameworks. This can lead to faster processing times, better scalability, and more streamlined development workflows for advanced AI systems. The paper presents empirical evidence demonstrating the substantial performance gains offered by Mojo. Furthermore, the analysis explores several advantages of Mojo beyond raw speed. These include static typing, which enhances code reliability and maintainability, and built-in support for parallelism, enabling efficient utilization of multi-core processors. Additionally, Mojo's seamless integration with existing Python codebases allows developers to leverage the extensive Python ecosystem while enjoying the performance benefits of Mojo.",,979-8-3503-7999-0,10.1109/ICSCSS60660.2024.10625342,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10625342,Mojo;Python;Programming Languages;Performance;AI Applications;Machine Learning;Static Typing;Memory Safety;Multithreading,Scalability;Syntactics;Parallel processing;Natural language processing;Libraries;Computational efficiency;Artificial intelligence,,4,,56,IEEE,20-Aug-24,10-12 July 2024,10-12 July 2024,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),2
Empirical Evaluation of CPython and Mojo for Performance and Code Comprehensibility,E. M. Campbell; K. O. Babaagba; O. Bamgboye,"School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, UK; School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, UK; School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, UK","2026 IEEE 50th Annual Computers, Software, and Applications Conference (COMPSAC)",20-Aug-26,2026,,,519,524,"This research presents an empirical evaluation of CPython and Mojo with respect to two key dimensions: execution performance and qualitative software quality attributes, most notably code readability. While CPython is renowned for its expressive syntax and Mojo for its explicit memory control, the impact of code readability on performance and overall code quality remains unclear. To investigate this, we conduct a systematic empirical comparison using a dual benchmarking methodology that integrates macro-benchmarking (wall time, CPU time) with micro-benchmarking at the function level. Six representative algorithmic workloads are evaluated: random integer generation, Fibonacci computation, matrix multiplication, quick sort, A* pathfinding, and Conway's Game of Life. The study evaluates performance through a combination of quantitative complexity metrics and a two-stage code review process. In terms of performance, Mojo significantly outperforms CPython in numerically intensive and compute-bound tasks, achieving speed-ups of up to 77× in matrix multiplication and notable performance improvements in sorting benchmarks. In contrast, CPython consistently ranks higher in readability and developer experience, offering clearer error messages and more concise implementations. The result confirms Mojo as a promising option for performance-critical components, particularly in scientific and data-intensive computing such as machine learning. Furthermore, a hybrid approach integrating Mojo for computational hotspots within Python-based systems can emerge as the most practical development strategy. The research contributes to a reproducible benchmarking and evaluation framework to support future research as Mojo evolves.",2836-3795,979-8-3315-4497-3,10.1109/COMPSAC69091.2026.00074,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11645285,CPython;Mojo;Software Quality;Code Readability;Execution Performance,Timing;Python;Matrices;Codes;Benchmark testing;Sorting;Memory;Games;Measurement;Printing,,,,11,IEEE,20-Aug-26,7-10 July 2026,7-10 July 2026,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),1
A Comprehensive Review of Mojo: A High-Performance Programming Language,P. D. Akre; U. Pacharaney,"Department of Artificial Intelligence and Data Science, Faculty of Engineering and Technology, Datta Meghe Institute of Higher Education and Research, Wardha, Maharashtra, India; Department of Artificial Intelligence and Machine Learning, Faculty of Engineering and Technology, Datta Meghe Institute of Higher Education and Research, Wardha, Maharashtra, India",2025 6th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI),20-Feb-25,2025,,,861,867,"As artificial intelligence continues to advance at an unprecedented pace, the selection of programming languages significantly affects development processes, workflows, and outcomes. Mojo, a novel programming language, has gained attention through its integration of Python-like syntax, Rust-inspired safety features, and superior performance characteristics. This paper evaluates Mojo across four critical dimensions: distinctive features, performance metrics, ecosystem maturity, and practical applications, while examining potential adoption barriers. Positioned at the intersection of high-level programming simplicity and low-level performance optimization, Mojo demonstrates particular utility for artificial intelligence developers requiring both flexibility and computational efficiency. Through analysis of prominent libraries, including Endia, Lightbug HTTP, Basalt, and LLM.mojo, this study examines Mojo's capabilities and limitations. By presenting a comparative analysis of Mojo's features, emerging ecosystem, and applicability to artificial intelligence development, this research addresses the current literature gap and provides substantive insights into this emerging programming language.",,979-8-3315-2266-7,10.1109/ICMCSI64620.2025.10883176,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10883176,Mojo;programming;Python;Rust;Aritficial Intelligence;CUDA,Reviews;Ecosystems;Syntactics;Programming;Libraries;Real-time systems;Safety;Artificial intelligence;Optimization;Python,,,,22,IEEE,20-Feb-25,7-8 Jan. 2025,7-8 Jan. 2025,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),2
Migrating Legacy Fortran to Python While Retaining Fortran-Level Performance through Transpilation and Type Hints,M. Bysiek; A. Drozd; S. Matsuoka,"Tokyo Institute of Technology, Meguro, Tokyo, Japan; Tokyo Institute of Technology, Meguro, Tokyo, Japan; Tokyo Institute of Technology, Meguro, Tokyo, Japan",2016 6th Workshop on Python for High-Performance and Scientific Computing (PyHPC),2-Feb-17,2016,,,9,18,"We propose a method of accelerating Python code by just-in-time compilation leveraging type hints mechanism introduced in Python 3.5. In our approach performance-critical kernels are expected to be written as if Python was a strictly typed language, however without the need to extend Python syntax. This approach can be applied to any Python application, however we focus on a special case when legacy Fortran applications are automatically translated into Python for easier maintenance. We developed a framework implementing two-way transpilation and achieved performance equivalent to that of Python manually translated to Fortran, and better than using other currently available JIT alternatives (up to 5x times faster than Numba in some experiments).",,978-1-5090-5220-2,10.1109/PyHPC.2016.006,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7836839,Application migration;gradual typing;interoperability;just-in-time compilation;legacy code;software maintenance;transpilation,Kernel;Programming;Optimization;Interoperability;C++ languages;Context;Standards,,11,,15,IEEE,2-Feb-17,14-14 Nov. 2016,14-14 Nov. 2016,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),5
"Signing in Four Public Software Package Registries: Quantity, Quality, and Influencing Factors",T. R. Schorlemmer; K. G. Kalu; L. Chigges; K. M. Ko; E. A. Ishgair; S. Bagchi; S. Torres-Arias; J. C. Davis,Purdue University; Purdue University; Purdue University; Purdue University; Purdue University; Purdue University; Purdue University; Purdue University,2024 IEEE Symposium on Security and Privacy (SP),5-Sep-24,2024,,,1160,1178,"Many software applications incorporate open-source third-party packages distributed by public package registries. Guaranteeing authorship along this supply chain is a challenge. Package maintainers can guarantee package authorship through software signing. However, it is unclear how common this practice is, and whether the resulting signatures are created properly. Prior work has provided raw data on registry signing practices, but only measured single platforms, did not consider quality, did not consider time, and did not assess factors that may influence signing. We do not have up-to-date measurements of signing practices nor do we know the quality of existing signatures. Furthermore, we lack a comprehensive understanding of factors that influence signing adoption.This study addresses this gap. We provide measurements across three kinds of package registries: traditional software (Maven, PyPI), container images (Docker Hub), and machine learning models (Hugging Face). For each registry, we describe the nature of the signed artifacts as well as the current quantity and quality of signatures. Then, we examine longitudinal trends in signing practices. Finally, we use a quasi-experiment to estimate the effect that various factors had on software signing practices. To summarize our findings: (1) mandating signature adoption improves the quantity of signatures; (2) providing dedicated tooling improves the quality of signing; (3) getting started is the hard part — once a maintainer begins to sign, they tend to continue doing so; and (4) although many supply chain attacks are mitigable via signing, signing adoption is primarily affected by registry policy rather than by public knowledge of attacks, new engineering standards, etc. These findings highlight the importance of software package registry managers and signing infrastructure.",2375-1207,979-8-3503-3130-1,10.1109/SP54263.2024.00215,Google; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10646801,signing;cryptography;security;pgp;gpg;digital signing;software signing;quasi experiment;git commit signing;docker content trust;software supply chain;provenance;package registry;factors;incentives;empirical software engineering;software reuse,Privacy;Software packages;Supply chains;Software systems;Software;Time measurement;Software measurement,,9,,100,IEEE,5-Sep-24,19-23 May 2024,19-23 May 2024,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),1
How Well Static Type Checkers Work with Gradual Typing? A Case Study on Python,W. Xu; L. Chen; C. Su; Y. Guo; Y. Li; Y. Zhou; B. Xu,"State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China",2023 IEEE/ACM 31st International Conference on Program Comprehension (ICPC),13-Jul-23,2023,,,242,253,"Python has become increasingly popular and widely used in many fields. Dynamic features of Python provide much convenience for developers. However, they can also cause many type-related bugs undetected until runtime, which increases the cost of maintenance. Static type checking is essential to find bugs early, and the introduction of gradual typing and type annotations makes it easier to perform static type analysis. However, it remains to be investigated how well gradual typing improves real bug detection. Therefore, we conducted a comprehensive study on three widely used checkers: MyPy, PyRight, and PyType. We used a benchmark containing 10 popular Python projects with 40 real type-related bugs. First, we performed static type checking on the projects with and without type annotations to evaluate the effectiveness of finding real bugs. Second, we manually analyzed the missing bugs and investigated the reasons. The results show that the three tools can detect 29 of the 40 studied bugs after annotating, while only 14 bugs are detected before annotating. We also found that type annotations can substantially improve the ability of static type checkers to detect real bugs. A detailed analysis of bugs missed by the checkers shows that: (i) the accuracy of type analysis is challenged when it comes to programs with complicated dynamic features, such as dynamically changing object’s attributes, even with annotations; (ii) the inaccurate type annotations can undermine the ability of static type checkers to detect real bugs; (iii) static type checkers have different checking strategies in some cases, which has an impact on real bug detection. Our study can not only enable developers to better understand static type checking and make better use of them but also guide future research.",2643-7171,979-8-3503-3750-1,10.1109/ICPC58990.2023.00039,National Natural Science Foundation of China; Nanjing University; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10173949,bug detection;type annotation;Python;gradual typing;static type checking,Runtime;Costs;Annotations;Computer bugs;Maintenance engineering;Benchmark testing;Feature extraction,,2,,50,IEEE,13-Jul-23,15-16 May 2023,15-16 May 2023,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),3
Towards Effective Static Type-Error Detection for Python,W. Oh; H. Oh,"Korea University, Republic of Korea; Korea University, Republic of Korea",2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),29-Nov-24,2024,,,1808,1820,"In this experience paper, we design, implement, and evaluate a new static type-error detection tool for Python. To build a practical tool, we first collected and analyzed 68 real-world type errors gathered from 20 open-source projects. This empirical investigation revealed four key static-analysis features that are crucial for the effective detection of Python type errors in practice. Utilizing these insights, we present a tool called Pyinder, which can successfully detect 34 out of the 68 bugs, compared to existing type analysis tools that collectively detect only 16 bugs. We also discuss the remaining 34 bugs that Pyinder failed to detect, offering insights into future directions for Python type analysis tools. Lastly, we show that Pyinder can uncover previously unknown bugs in recent Python projects.",2643-1572,979-8-4007-1248-7,,Samsung; National Research Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10764867,,Codes;Annotations;Computer bugs;Manuals;Feature extraction;Reliability;Python;Software engineering,,2,,62,,29-Nov-24,27 Oct.-1 Nov. 2024,27 Oct.-1 Nov. 2024,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),5
The Python Software Quality Dataset,V. -A. Moldovan; L. -M. Berciu; R. -D. Patcas,"Faculty of Mathematics and Informatics, Babes-Bolyai University, Cluj-Napoca, Romania; Faculty of Mathematics and Informatics, Babes-Bolyai University, Cluj-Napoca, Romania; Faculty of Mathematics and Informatics, Babes-Bolyai University, Cluj-Napoca, Romania",2024 50th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),27-Dec-24,2024,,,395,398,"With Python's ascension as a dominant program-ming language, particularly in the fields of artificial intelligence and data science, the need for comprehensive datasets focusing on software quality within Python projects has become increasingly noticeable. This study introduces a detailed dataset designed to address this gap, enriching academic resources in software engineering. The dataset encompasses a wide array of software quality metrics on up to 80 projects, including 51.765.853 Sonar-Qube issues, 268.506 SonarQube code quality metrics, 11.915 software refactoring records, and 155.127 pairs of bug-inducing and bug-fixing commits, along with 863.931 GitHub issue tracker entries. This extensive collection serves as a versatile tool for various research activities, enabling analysis of the relationships between technical debt and software refactorings, correlations be-tween refactoring processes and bug resolution, and their overall impact on software maintainability and reliability. By offering a comprehensive and multifaceted dataset, this study significantly contributes to understanding and improving software quality in Python projects.",2376-9521,979-8-3503-8026-2,10.1109/SEAA64295.2024.00066,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10803427,Software Engineering;Python Dataset;SonarQube Mining;Github Mining;SZZ;Refactoring;Software Metrics,Measurement;Correlation;Computer bugs;Focusing;Software quality;Data science;Software reliability;Python;Software engineering;Software development management,,6,,21,IEEE,27-Dec-24,28-30 Aug. 2024,28-30 Aug. 2024,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),1
Typed and Confused: Studying the Unexpected Dangers of Gradual Typing,D. Troppmann; A. Fass; C. -A. Staicu,"CISPA Helmholtz Center for Information Security, Saarbrücken, Germany; CISPA Helmholtz Center for Information Security, Saarbrücken, Germany; CISPA Helmholtz Center for Information Security, Saarbrücken, Germany",2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),29-Nov-24,2024,,,1858,1870,"In recent years, scripting languages such as JavaScript and Python have gained a lot of traction due to their flexibility, which allows developers to write concise code in a short amount of time. However, this flexibility is achieved via weak, dynamic typing, which fails to catch subtle bugs that would be prevented by a compiler, in static typing. Gradual-type systems like TypeScript emerged as a solution that combines the best of both worlds, allowing developers to annotate parts of their code with optional type hints. Nonetheless, most practical deployments of such systems are unsound, limiting themselves to static checks and not performing residual runtime checks that help enforce type hints uniformly. This is a missed automation opportunity that offloads the burden on developers, who still need to perform explicit type checks at transition points between untyped and typed code so that values at runtime obey the type hints. Failure to do so can result in subtle type inconsistency bugs, and when user input is involved, it can render input validation mechanisms ineffective, resulting in type confusion problems. In this work, we study the relation between gradual typing and type confusion. Our main hypothesis is that the type hints in the code can mislead developers into thinking they are enforced consistently by the compiler, resulting in a lack of explicit runtime checks that ensure type safety. We perform a large empirical study with 30,000 open-source repositories to statically analyze if and how they use gradual typing and to what extent this influences the presence of explicit type checks. We find that many projects feature gradually typed code, but usually only in small portions of their code base. This implies the presence of many points in the code base where developers must add explicit type checks, i.e., at the transition points between unannotated and annotated code. Our results further indicate that gradual typing may have a deteriorating effect when parameters are annotated with primitive types. Finally, we manually analyze a small portion of the studied repositories and show that attackers can remotely cause type confusion and violate the type hints added by developers. We hope that our results help raise awareness about the limits of current gradual-type systems and their unwanted effect on input validation.",2643-1572,979-8-4007-1248-7,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10764940,,Codes;Runtime;Limiting;Automation;Annotations;Computer bugs;Safety;Security,,,,60,,29-Nov-24,27 Oct.-1 Nov. 2024,27 Oct.-1 Nov. 2024,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,searches.csv,kept (matched keywords or no keyword filter set),3
